 3.40  -0.7036133E+02   0.2891272E+01  -0.1050271E+01  -0.1183152E+02  -0.6291986E+00  -0.5793057E+00  -0.1079638E+01   0.8804307E+00  -0.1003429E+01   0.8405373E-01  -0.5489406E-01   0.1213280E+00
 3.50  -0.7022949E+02  -0.2146780E+00  -0.1244105E+01  -0.9414197E+01   0.2700993E+00  -0.1574586E+01  -0.4761799E+00   0.3619092E+00  -0.9068497E+00   0.4450816E-01  -0.1110055E-01   0.4925405E-01
 3.60  -0.6678872E+02  -0.1961180E+01  -0.1301005E+01  -0.7426216E+01   0.7392508E+00  -0.2014617E+01  -0.1171567E+00   0.5674664E-01  -0.7867562E+00   0.1963330E-01   0.1170624E-01   0.7535815E-02
 3.70  -0.6164870E+02  -0.2847324E+01  -0.1274421E+01  -0.5824427E+01   0.9470288E+00  -0.2127824E+01   0.8587866E-01  -0.1128603E+00  -0.6636916E+00   0.4405836E-02   0.2207314E-01  -0.1523204E-01
 3.80  -0.5580994E+02  -0.3203695E+01  -0.1200569E+01  -0.4553082E+01   0.1001534E+01  -0.2058735E+01   0.1913558E+00  -0.1982006E+00  -0.5485552E+00  -0.4525945E-02   0.2534057E-01  -0.2639449E-01
 3.90  -0.4987404E+02  -0.3245930E+01  -0.1103340E+01  -0.3555206E+01   0.9708636E+00  -0.1896903E+01   0.2374149E+00  -0.2326517E+00  -0.4464070E+00  -0.9391366E-02   0.2478405E-01  -0.3063494E-01
 4.00  -0.4418473E+02  -0.3112145E+01  -0.9979524E+00  -0.2778343E+01   0.8970127E+00  -0.1696293E+01   0.2485965E+00  -0.2376010E+00  -0.3588862E+00  -0.1166844E-01   0.2236484E-01  -0.3090408E-01
 4.10  -0.3892185E+02  -0.2888840E+01  -0.8936389E+00  -0.2176985E+01   0.8051470E+00  -0.1488159E+01   0.2404136E+00  -0.2264936E+00  -0.2857279E+00  -0.1233346E-01   0.1921943E-01  -0.2903334E-01
 4.20  -0.3416336E+02  -0.2628639E+01  -0.7955914E+00  -0.1713148E+01   0.7097469E+00  -0.1289521E+01   0.2224527E+00  -0.2075768E+00  -0.2256954E+00  -0.1202833E-01   0.1597562E-01  -0.2613735E-01
 4.30  -0.2992591E+02  -0.2362296E+01  -0.7063541E+00  -0.1355978E+01   0.6186332E+00  -0.1108681E+01   0.2004626E+00  -0.1857457E+00  -0.1771395E+00  -0.1117233E-01   0.1295422E-01  -0.2287645E-01
