R_Bohr             v_0_0_0               v_1_0_1               v_1_1_0               v_1_1_2               v_2_0_2               v_2_1_1               v_2_1_3               v_2_2_0               v_2_2_2               v_2_2_4               v_3_0_3               v_3_1_2               v_3_1_4               v_3_2_1               v_3_2_3               v_3_2_5               v_3_3_0               v_3_3_2               v_3_3_4               v_3_3_6               v_4_0_4               v_4_1_3               v_4_1_5               v_4_2_2               v_4_2_4               v_4_2_6               v_4_3_1               v_4_3_3               v_4_3_5               v_4_3_7               v_4_4_0               v_4_4_2               v_4_4_4               v_4_4_6               v_4_4_8               v_5_0_5               v_5_1_4               v_5_1_6               v_5_2_3               v_5_2_5               v_5_2_7               v_5_3_2               v_5_3_4               v_5_3_6               v_5_3_8               v_5_4_1               v_5_4_3               v_5_4_5               v_5_4_7               v_5_4_9               v_5_5_0               v_5_5_2               v_5_5_4               v_5_5_6               v_5_5_8              v_5_5_10   
  9.24 -0.239008976499E-02    0.322125242469E-03    0.202677133065E-03   -0.119041083735E-03   -0.238181917981E-03   -0.165064289754E-03    0.941791361065E-04    0.579834709925E-03   -0.372787383818E-03    0.991698857822E-04   -0.323600067655E-04    0.814709124790E-04   -0.395490039687E-04   -0.290761243178E-03    0.131141635623E-03   -0.519763680552E-04    0.104329685491E-03   -0.812629544779E-04    0.341128346871E-04   -0.483378485120E-05    0.453300631066E-04   -0.360048881873E-04    0.178997451590E-04    0.113409007079E-03   -0.485186133653E-04    0.145796037249E-04   -0.658003378511E-04    0.341272076405E-04   -0.131402171580E-04    0.179808521540E-05    0.290612533550E-04   -0.237570350261E-04    0.117011666930E-04   -0.349404574251E-05    0.223754584294E-05   -0.832636140453E-05    0.216372964888E-04   -0.573524428977E-05   -0.228602048329E-04    0.285768841547E-05   -0.774269794553E-06    0.148292024858E-04   -0.114748089604E-04    0.498575029974E-05   -0.634494077796E-06   -0.106585548119E-05    0.229456425987E-05   -0.294610201499E-05    0.379738106714E-05    0.130109793002E-04    0.123628315666E-04   -0.125766930193E-04    0.546123733669E-05    0.189501851131E-05   -0.262992821320E-05    0.460916548925E-06   
  9.53 -0.203096250747E-02    0.315157740034E-03    0.158643763080E-03   -0.746015945792E-04   -0.243045570795E-03   -0.115198717210E-03    0.536058386976E-04    0.478536395814E-03   -0.296878578546E-03    0.623665654468E-04   -0.476124931969E-05    0.559423269997E-04   -0.243717083549E-04   -0.228351586132E-03    0.985105982562E-04   -0.370269759547E-04    0.806350090191E-04   -0.623114651919E-04    0.250500036717E-04   -0.223991608465E-05    0.254319020891E-04   -0.236155395109E-04    0.107640146276E-04    0.855575492771E-04   -0.350630184464E-04    0.885039143838E-05   -0.479710123718E-04    0.244737126090E-04   -0.910411798415E-05    0.117676850228E-05    0.203780019254E-04   -0.165590394801E-04    0.799944820838E-05   -0.227347045474E-05    0.138414604987E-05   -0.433819131594E-05    0.158449108023E-04   -0.382059841825E-05   -0.164922977144E-04    0.133282467438E-05   -0.285121486331E-06    0.977219849367E-05   -0.896907610892E-05    0.410827276092E-05   -0.562759989497E-06   -0.209231360011E-06    0.152710198835E-05   -0.191055488110E-05    0.313999090321E-05    0.102250867939E-04    0.903340333566E-05   -0.929557262176E-05    0.405911127084E-05    0.149936743311E-05   -0.200365732648E-05    0.349725224952E-06   
  9.82 -0.170327880511E-02    0.285084915445E-03    0.130114234407E-03   -0.477863856008E-04   -0.225530455120E-03   -0.840786518689E-04    0.293188955837E-04    0.401925749759E-03   -0.242347847743E-03    0.404441970192E-04    0.829575886566E-05    0.391701286931E-04   -0.149106138315E-04   -0.180478434202E-03    0.743052998635E-04   -0.265557743719E-04    0.629792019011E-04   -0.482415783952E-04    0.185544059041E-04   -0.116434968332E-05    0.127870792537E-04   -0.157214186575E-04    0.637141111089E-05    0.656900918328E-04   -0.253485882012E-04    0.517052717619E-05   -0.346609627401E-04    0.174525204557E-04   -0.621749270263E-05    0.100661919678E-05    0.142443063639E-04   -0.115185101576E-04    0.546823293798E-05   -0.148661049716E-05    0.831557997789E-06   -0.212151538610E-05    0.107490023417E-04   -0.243985091784E-05   -0.121153073104E-04    0.576152253079E-06   -0.358198323366E-07    0.626708202637E-05   -0.699187815696E-05    0.336558041784E-05   -0.480863681303E-06    0.988094066378E-07    0.103601055826E-05   -0.102535166848E-05    0.234910839266E-05    0.701544592618E-05    0.575261246133E-05   -0.589897143670E-05    0.250399727209E-05    0.107268768342E-05   -0.133248701880E-05    0.230884568323E-06   
 10.13 -0.141497022667E-02    0.245532103596E-03    0.111590378879E-03   -0.324824193585E-04   -0.197922201986E-03   -0.648833859103E-04    0.154765307492E-04    0.341905966371E-03   -0.201976359465E-03    0.277228872183E-04    0.129437704166E-04    0.282525006405E-04   -0.917124596845E-05   -0.143453155453E-03    0.562596065682E-04   -0.191795572050E-04    0.496527795553E-04   -0.376549517478E-04    0.138703629556E-04   -0.999418828716E-06    0.480899976669E-05   -0.107074125415E-04    0.373853475231E-05    0.512363058156E-04   -0.182577037726E-04    0.285637940760E-05   -0.248062717018E-04    0.123743969916E-04   -0.416666133037E-05    0.103709210724E-05    0.993937791461E-05   -0.800636134405E-05    0.374294606845E-05   -0.979826964189E-06    0.487017504599E-06   -0.946609178265E-06    0.639736206857E-05   -0.145636234567E-05   -0.904213978468E-05    0.248899532446E-06    0.703077849428E-07    0.390947619161E-05   -0.541893936747E-05    0.272625282262E-05   -0.399681022366E-06    0.129175958503E-06    0.685333500881E-06   -0.312802452466E-06    0.152293845964E-05    0.386101655605E-05    0.284026644905E-05   -0.279104932729E-05    0.102606363262E-05    0.673943445227E-06   -0.704380407777E-06    0.116074699946E-06   
 10.45 -0.116756474132E-02    0.204636013032E-03    0.992309044762E-04   -0.243317852622E-04   -0.167482240212E-03   -0.530258980909E-04    0.807218652938E-05    0.293238105662E-03   -0.170985217367E-03    0.204590440603E-04    0.131441420834E-04    0.211452315515E-04   -0.576673925142E-05   -0.114650245784E-03    0.427829898183E-04   -0.139395608048E-04    0.394583922877E-04   -0.295835919010E-04    0.104673061535E-04   -0.128909893490E-05   -0.119546154753E-06   -0.751065673188E-05    0.219728628996E-05    0.404890926179E-04   -0.130588818648E-04    0.143731352188E-05   -0.176087368077E-04    0.873835714333E-05   -0.272993120497E-05    0.111265118090E-05    0.694246882641E-05   -0.557561684892E-05    0.257221920580E-05   -0.653155605032E-06    0.279286803384E-06   -0.360452967993E-06    0.285720256958E-05   -0.768881796019E-06   -0.683679907040E-05    0.142263470567E-06    0.986439795733E-07    0.238177656181E-05   -0.416648399893E-05    0.217549075216E-05   -0.324274928861E-06    0.396446008899E-07    0.412447822069E-06    0.213388962831E-06    0.748687433017E-06    0.110447688942E-05    0.496211953987E-06   -0.237828856648E-06   -0.214175534407E-06    0.336915641709E-06   -0.176856629981E-06    0.168536120108E-07   
 10.77 -0.958949928410E-03    0.166770069766E-03    0.904743231950E-04   -0.203632432062E-04   -0.138196735073E-03   -0.455167965404E-04    0.445479830480E-05    0.252631992119E-03   -0.146299451371E-03    0.162891905238E-04    0.113242830793E-04    0.164566766448E-04   -0.377669490843E-05   -0.921553711090E-04    0.327342013371E-04   -0.101829559587E-04    0.315579431628E-04   -0.233572479415E-04    0.797486402008E-05   -0.172172623369E-05   -0.301573081516E-05   -0.544709667100E-05    0.131207985480E-05    0.323201055185E-04   -0.925966360013E-05    0.596207611881E-06   -0.124417156344E-04    0.616866912025E-05   -0.174501253549E-05    0.115282297817E-05    0.487261726616E-05   -0.390452048189E-05    0.178119071713E-05   -0.441968982844E-06    0.157740185711E-06   -0.917931325302E-07    0.157084217543E-06   -0.302487729242E-06   -0.522178679458E-05    0.134470542009E-06    0.900326362124E-07    0.143424552409E-05   -0.317351442595E-05    0.170606371331E-05   -0.257094046052E-06   -0.817171255804E-07    0.193171601806E-06    0.557655686622E-06    0.899170556796E-07   -0.105961700271E-05   -0.120179934513E-05    0.163872418268E-05   -0.113402822187E-05    0.761707924210E-07    0.222051054219E-06   -0.595823186557E-07   
 11.11 -0.785201724211E-03    0.133877178659E-03    0.837006579574E-04   -0.186460127031E-04   -0.111999727062E-03   -0.404749025495E-04    0.293657066931E-05    0.218058425877E-03   -0.125988594634E-03    0.137880573846E-04    0.887155642943E-05    0.132718655970E-04   -0.261612208643E-05   -0.745343342707E-04    0.252702709067E-04   -0.746876910599E-05    0.253624115297E-04   -0.185081530818E-04    0.613437535018E-05   -0.210843545162E-05   -0.453692047386E-05   -0.408540980383E-05    0.809660513028E-06    0.259835634184E-04   -0.651283483965E-05    0.122792681759E-06   -0.880128741794E-05    0.437802906978E-05   -0.108929600314E-05    0.112917586906E-05    0.345109561449E-05   -0.276093799655E-05    0.124793026728E-05   -0.304647173612E-06    0.884655165093E-07    0.153720316369E-07   -0.173372510653E-05   -0.875381183201E-09   -0.401842978078E-05    0.159590154824E-06    0.679194667377E-07    0.874873996194E-06   -0.239238280794E-05    0.131298357847E-05   -0.199228928406E-06   -0.189695396907E-06    0.204922544452E-07    0.741559566963E-06   -0.417672841784E-06   -0.256744840565E-05   -0.227540327825E-05    0.283688461404E-05   -0.171828160781E-05   -0.107364724716E-06    0.488463030349E-06   -0.110976164482E-06   
 11.45 -0.641730644402E-03    0.106442707032E-03    0.779494801441E-04   -0.179930547563E-04   -0.895999088071E-04   -0.367642716937E-04    0.248869108511E-05    0.188260832540E-03   -0.108860048928E-03    0.121389145021E-04    0.650146549016E-05    0.110101876766E-04   -0.192812086865E-05   -0.606871147223E-04    0.197510127761E-04   -0.549806339328E-05    0.204542474460E-04   -0.147048149078E-04    0.476417039296E-05   -0.235538164192E-05   -0.512775293535E-05   -0.315854760095E-05    0.524738495423E-06    0.209835594217E-04   -0.456041497774E-05   -0.120855916560E-06   -0.628179844812E-05    0.314593842575E-05   -0.668497747872E-06    0.104446310988E-05    0.247614967422E-05   -0.197873056377E-05    0.887842119099E-06   -0.214473107779E-06    0.498295762333E-07    0.466679736476E-07   -0.290139976550E-05    0.179286063682E-06   -0.310938095772E-05    0.185756334988E-06    0.443926847536E-07    0.561645492881E-06   -0.178402641734E-05    0.990868961687E-06   -0.150905807863E-06   -0.265101845346E-06   -0.107309523777E-06    0.797853861722E-06   -0.764346257176E-06   -0.345368415085E-05   -0.281274862803E-05    0.343829183772E-05   -0.200016095163E-05   -0.221511644545E-06    0.635448255118E-06   -0.138989785153E-06   
 11.81 -0.523951055731E-03    0.841638253814E-04    0.726986873042E-04   -0.177237077552E-04   -0.710198940916E-04   -0.337337886004E-04    0.251587172328E-05    0.162430474743E-03   -0.941771415472E-04    0.109011006938E-04    0.452071535947E-05    0.931609928671E-05   -0.150334160034E-05   -0.497574381309E-04    0.156810572434E-04   -0.406505939491E-05    0.165336788068E-04   -0.117072944858E-04    0.373551007777E-05   -0.243545950017E-05   -0.510451891254E-05   -0.250363937590E-05    0.360715817307E-06    0.169858662722E-04   -0.320239202025E-05   -0.224630585554E-06   -0.456227598550E-05    0.230503388411E-05   -0.410149375511E-06    0.916397544351E-06    0.180442109309E-05   -0.144087055640E-05    0.642913848400E-06   -0.154366819612E-06    0.286065115054E-07    0.464856448832E-07   -0.347072826113E-05    0.272043825224E-06   -0.241552456052E-05    0.200584560439E-06    0.246970177648E-07    0.394666253913E-06   -0.131562841603E-05    0.733048278454E-06   -0.111731653018E-06   -0.304000795859E-06   -0.192365758387E-06    0.763434998779E-06   -0.960782483741E-06   -0.381524342865E-05   -0.293559665871E-05    0.356988604132E-05   -0.204067014693E-05   -0.278807730001E-06    0.685771717200E-06   -0.147712043862E-06   
 12.18 -0.427632974372E-03    0.663804636827E-04    0.677002335739E-04   -0.174845350017E-04   -0.559345373797E-04   -0.310361390672E-04    0.269629367149E-05    0.140005006155E-03   -0.814731657017E-04    0.985452311208E-05    0.300638403475E-05    0.797922878420E-05   -0.122354552732E-05   -0.410758959100E-04    0.126750478569E-04   -0.302464941099E-05    0.133820448684E-04   -0.933770576225E-05    0.295628109051E-05   -0.236313509543E-05   -0.470054017630E-05   -0.202237189246E-05    0.262928081411E-06    0.137602496731E-04   -0.228028106293E-05   -0.246852211670E-06   -0.339616715408E-05    0.173113893740E-05   -0.259531251661E-06    0.766624518062E-06    0.133636539084E-05   -0.106662602311E-05    0.474012453705E-06   -0.113473125550E-06    0.170137025061E-07    0.361662640822E-07   -0.358417834513E-05    0.304380084039E-06   -0.188194166031E-05    0.201859922332E-06    0.103145623637E-07    0.307785731979E-06   -0.959435655434E-06    0.531646052316E-06   -0.808785127001E-07   -0.310689198669E-06   -0.239157661401E-06    0.673385574930E-06   -0.103104548338E-05   -0.377832124300E-05   -0.277228679169E-05    0.337181314527E-05   -0.191067561669E-05   -0.293418845967E-06    0.665735355442E-06   -0.142263520199E-06   
 12.56 -0.349054103810E-03    0.523314750312E-04    0.628646247249E-04   -0.171211696336E-04   -0.438738469402E-04   -0.285058566556E-04    0.287263671947E-05    0.120552899969E-03   -0.704351042877E-04    0.890089082979E-05    0.192132040806E-05    0.687873614832E-05   -0.102429938455E-05   -0.341217961414E-04    0.104357387695E-04   -0.227175198767E-05    0.108369611096E-04   -0.746107859334E-05    0.236005673437E-05   -0.217426962301E-05   -0.408951206670E-05   -0.165560056722E-05    0.201329973766E-06    0.111433072133E-04   -0.166859822291E-05   -0.225089346734E-06   -0.260107128666E-05    0.133494591845E-05   -0.176636778630E-06    0.614330671639E-06    0.100452888894E-05   -0.801554814248E-06    0.355231837994E-06   -0.849435696945E-07    0.106289117834E-07    0.248720664202E-07   -0.338274114346E-05    0.297503395695E-06   -0.146941702970E-05    0.191923039834E-06    0.906010560129E-09    0.260264753845E-06   -0.692076154579E-06    0.378115655226E-06   -0.572538720247E-07   -0.293123547808E-06   -0.254402126336E-06    0.557048965994E-06   -0.100570736978E-05   -0.347258892569E-05   -0.243901519993E-05    0.297451037027E-05   -0.167780025504E-05   -0.278975987202E-06    0.600655474442E-06   -0.127737610983E-06   
 12.95 -0.285034656129E-03    0.412911741726E-04    0.581843129427E-04   -0.165913966994E-04   -0.343379566873E-04   -0.260798634378E-04    0.298099968896E-05    0.103712996405E-03   -0.608350206256E-04    0.800424529689E-05    0.118350341021E-05    0.594642716041E-05   -0.871582378874E-06   -0.284947901388E-04    0.873845599921E-05   -0.172860685459E-05    0.877555428107E-05   -0.597302541455E-05    0.189872363576E-05   -0.191149538708E-05   -0.339790980789E-05   -0.136751555862E-05    0.159806169187E-06    0.901488380306E-05   -0.126990380886E-05   -0.183155586832E-06   -0.204770242542E-05    0.105455685581E-05   -0.133490924292E-06    0.473403383241E-06    0.764226616188E-06   -0.609719497758E-06    0.269730560736E-06   -0.644888449886E-07    0.701847319968E-08    0.157804693828E-07   -0.299170139637E-05    0.267664455951E-06   -0.114926012497E-05    0.174531415790E-06   -0.456362541841E-08    0.229220296453E-06   -0.494068104870E-06    0.263876166312E-06   -0.396540432077E-07   -0.260036237566E-06   -0.246051666001E-06    0.436219835941E-06   -0.916161172997E-06   -0.301387549069E-05   -0.202944148531E-05    0.248531944155E-05   -0.139850947681E-05   -0.247247293180E-06    0.512063075493E-06   -0.108532547687E-06   
 13.35 -0.232909730461E-03    0.326299097051E-04    0.536862419726E-04   -0.159094630888E-04   -0.268571247478E-04   -0.237476387171E-04    0.300661961752E-05    0.891664007477E-04   -0.524920956485E-04    0.715719075990E-05    0.704001808327E-06    0.514352971527E-05   -0.747827010660E-06   -0.238915681423E-04    0.741832563502E-05   -0.133702237018E-05    0.710313129533E-05   -0.479172749794E-05    0.153741505925E-05   -0.161480121602E-05   -0.271294870298E-05   -0.113601807101E-05    0.129855233899E-06    0.728331885428E-05   -0.101102066676E-05   -0.135642373435E-06   -0.164858654266E-05    0.848787555850E-06   -0.111611334402E-06    0.351952829386E-06    0.586365660806E-06   -0.467783430580E-06    0.206711210871E-06   -0.494339069571E-07    0.488075545694E-08    0.942048208172E-08   -0.251232096788E-05    0.226798141228E-06   -0.900080323230E-06    0.153291656853E-06   -0.723587372242E-08    0.203371937117E-06   -0.349392427612E-06    0.180863418750E-06   -0.268882372603E-07   -0.219262137450E-06   -0.222129156041E-06    0.325051674291E-06   -0.790605645435E-06   -0.249482358820E-05   -0.161120013579E-05    0.198321558588E-05   -0.111471892010E-05   -0.207501651639E-06    0.416414777565E-06   -0.880316239030E-07   
 13.77 -0.190473392339E-03    0.258305105480E-04    0.494049470777E-04   -0.151126708625E-04   -0.210187671467E-04   -0.215214247567E-04    0.295768976632E-05    0.766254094118E-04   -0.452530930558E-04    0.636301528465E-05    0.404877977222E-06    0.444686390392E-05   -0.643983561626E-06   -0.200856302150E-04    0.635870311385E-05   -0.105349818086E-05    0.574547898561E-05   -0.385258684787E-05    0.125092530304E-05   -0.131645665612E-05   -0.208931807943E-05   -0.947010083578E-06    0.107008547908E-06    0.587633559974E-05   -0.839369002861E-06   -0.909173868583E-07   -0.134738009657E-05    0.691382163932E-06   -0.996383838897E-07    0.253154767295E-06    0.452154838128E-06   -0.360702213646E-06    0.159288436495E-06   -0.381056106259E-07    0.353571960907E-08    0.534725529872E-08   -0.201896099258E-05    0.183149477911E-06   -0.705711843782E-06    0.131025132719E-06   -0.809576416139E-08    0.178301614370E-06   -0.245084153655E-06    0.121913331133E-06   -0.178659116517E-07   -0.176931293432E-06   -0.189783603901E-06    0.231093385178E-06   -0.651750640983E-06   -0.198197580979E-05   -0.122728266173E-05    0.151943134308E-05   -0.853747937770E-06   -0.166393834321E-06    0.324948692937E-06   -0.685466491801E-07   
 14.20 -0.155914187092E-03    0.204820472248E-04    0.453692397170E-04   -0.142429674649E-04   -0.164756713910E-04   -0.194195535599E-04    0.285083798120E-05    0.658301174232E-04   -0.389830948932E-04    0.562708077353E-05    0.225279707155E-06    0.384110380977E-05   -0.555225022796E-06   -0.169096081408E-04    0.548044176086E-05   -0.845913513673E-06    0.464358275763E-05   -0.310449300754E-05    0.102109380496E-05   -0.103918268373E-05   -0.155584313753E-05   -0.791077931980E-06    0.888777778989E-07    0.473545826672E-05   -0.719161380645E-06   -0.531781518089E-07   -0.110957477047E-05    0.566283875587E-06   -0.912390903381E-07    0.176630502733E-06    0.349388870003E-06   -0.278717662456E-06    0.123037992285E-06   -0.294420629749E-07    0.263335492592E-08    0.290365524660E-08   -0.156036999206E-05    0.141932363005E-06   -0.553823981715E-06    0.109641030164E-06   -0.789013446681E-08    0.153165225970E-06   -0.170832110321E-06    0.809647006673E-07   -0.116474421380E-07   -0.137254713792E-06   -0.154716490549E-06    0.156877226797E-06   -0.516003118263E-06   -0.151734599721E-05   -0.900240676666E-06    0.112164763126E-05   -0.630345975704E-06   -0.128198841104E-06    0.244281563310E-06   -0.514310523468E-07   
 14.64 -0.127752394208E-03    0.162641620132E-04    0.415972140858E-04   -0.133380183538E-04   -0.129441538826E-04   -0.174580505685E-04    0.270374593152E-05    0.565476221613E-04   -0.335614541346E-04    0.495327729491E-05    0.121316428602E-06    0.331475229640E-05   -0.478738929305E-06   -0.142402118994E-04    0.473220070561E-05   -0.691042283024E-06    0.374995762460E-05   -0.250706903016E-05    0.834855048884E-06   -0.796479471393E-06   -0.112211715556E-05   -0.661599022912E-06    0.741286254009E-07    0.381257721175E-05   -0.627597569447E-06   -0.239085987556E-07   -0.915022623028E-06    0.464003506616E-06   -0.833762442816E-07    0.119855888632E-06    0.269965608734E-06   -0.215358277546E-06    0.950492401250E-07   -0.227492623266E-07    0.199361530531E-08    0.151403217489E-08   -0.116360370042E-05    0.106004375646E-06   -0.434952426887E-06    0.902488634714E-07   -0.713537814719E-08    0.128621713545E-06   -0.118589061836E-06    0.531070639679E-07   -0.746369017731E-08   -0.102679764875E-06   -0.120977873405E-06    0.101600978103E-06   -0.393746256749E-06   -0.112258566308E-05   -0.637501454585E-06    0.799755486904E-06   -0.449679950185E-06   -0.952405312088E-07    0.177383421999E-06   -0.372796804071E-07   
 15.10 -0.104783605360E-03    0.129293619117E-04    0.380958636528E-04   -0.124278544752E-04   -0.101973985733E-04   -0.156472148587E-04    0.253189480737E-05    0.485714607835E-04   -0.288800814921E-04    0.434302739162E-05    0.632351709836E-07    0.285822800762E-05   -0.412653566404E-06   -0.119859519550E-04    0.408212628310E-05   -0.572533236033E-06    0.302605702075E-05   -0.202853105679E-05    0.682775121123E-06   -0.594167185755E-06   -0.784703413977E-06   -0.553672068263E-06    0.619591064974E-07    0.306777983934E-05   -0.551321894004E-06   -0.293242443584E-08   -0.752368793660E-06    0.379011242960E-06   -0.749820679292E-07    0.793277759597E-07    0.208306902287E-06   -0.166171337152E-06    0.733325885059E-07   -0.175539003401E-07    0.152180774538E-08    0.759819479200E-09   -0.839150895025E-06    0.765135435883E-07   -0.341801055370E-06    0.733542727548E-07   -0.616085045100E-08    0.105675250267E-06   -0.821988816593E-07    0.345156132109E-07   -0.471269633820E-08   -0.742378663350E-07   -0.910514063920E-07    0.626071462430E-07   -0.290291693759E-06   -0.804184541716E-06   -0.436582283570E-06    0.551727337187E-06   -0.310456598627E-06   -0.683899136468E-07    0.124648081206E-06   -0.261520276729E-07   
 15.57 -0.860300330802E-04    0.102868399666E-04    0.348628718334E-04   -0.115344986591E-04   -0.805698986112E-05   -0.139909924365E-04    0.234752915014E-05    0.417204636253E-04   -0.248425772702E-04    0.379542921887E-05    0.319004728224E-07    0.246305924284E-05   -0.355547067409E-06   -0.100776252826E-04    0.351114115167E-05   -0.479210999787E-06    0.244040489194E-05   -0.164396152443E-05    0.557963630817E-06   -0.432412068872E-06   -0.532468088373E-06   -0.463512301948E-06    0.518416130794E-07    0.246789990467E-05   -0.483372846247E-06    0.108298186044E-07   -0.615215432622E-06    0.307993151265E-06   -0.660205443903E-07    0.513900754236E-07    0.160399258334E-06   -0.127954252830E-06    0.564640605992E-07   -0.135170925921E-07    0.116545601332E-08    0.367531106798E-09   -0.586154157259E-06    0.534721932656E-07   -0.268726318408E-06    0.590563051387E-07   -0.515941749183E-08    0.851333111074E-07   -0.570487133570E-07    0.223171600052E-07   -0.294201435117E-08   -0.519539014643E-07   -0.661194939227E-07    0.365133700178E-07   -0.207131770461E-06   -0.558589596304E-06   -0.289490124402E-06    0.368701740042E-06   -0.207663792865E-06   -0.475443905151E-07    0.848725137037E-07   -0.177774207691E-07   
 16.06 -0.706993983370E-04    0.818912461311E-05    0.318891085114E-04   -0.106729615031E-04   -0.638429421378E-05   -0.124877485472E-04    0.215969707482E-05    0.358369584854E-04   -0.213635376461E-04    0.330780264236E-05    0.155713560351E-07    0.212159873156E-05   -0.306237778860E-06   -0.846133686439E-05    0.300788956240E-05   -0.403657611601E-06    0.196721560695E-05   -0.133389038867E-05    0.455283002123E-06   -0.307741266583E-06   -0.350762606939E-06   -0.388103925245E-06    0.433976915857E-07    0.198546006184E-05   -0.420755231745E-06    0.188355089697E-07   -0.499691833491E-06    0.248775899184E-06   -0.568824866350E-07    0.327305025981E-07    0.123232567845E-06   -0.983055291760E-07    0.433794204727E-07   -0.103851853546E-07    0.893040916940E-09    0.171494783350E-09   -0.396999640088E-06    0.362269398666E-07   -0.211350546500E-06    0.472104970776E-07   -0.423211675722E-08    0.674347153868E-07   -0.397538402532E-07    0.144249786351E-07   -0.182399503353E-08   -0.352315891857E-07   -0.464057746119E-07    0.199650735313E-07   -0.143208544867E-06   -0.376572525372E-06   -0.186009496096E-06    0.238870708103E-06   -0.134685080594E-06   -0.320344363398E-07    0.560453777447E-07   -0.117202157334E-07   
 16.56 -0.581506191252E-04    0.652167060830E-05    0.291610436812E-04   -0.985268730425E-05   -0.507253593822E-05   -0.111315904234E-04    0.197472716744E-05    0.307845433459E-04   -0.183677988194E-04    0.287629017574E-05    0.735164350963E-08    0.182694621920E-05   -0.263700512510E-06   -0.709366231571E-05    0.256521022439E-05   -0.341067458599E-06    0.158534536491E-05   -0.108312759899E-05    0.370792479870E-06   -0.214758204419E-06   -0.224382200116E-06   -0.324992954818E-06    0.363373178429E-07    0.159782651202E-05   -0.362657755212E-06    0.225796076573E-07   -0.403060576587E-06    0.199724766464E-06   -0.480377661182E-07    0.206138087249E-07    0.944783124490E-07   -0.753675963997E-07    0.332571442688E-07   -0.796206401612E-08    0.683818799065E-09    0.772262002285E-10   -0.260910734030E-06    0.238125350511E-07   -0.166269317949E-06    0.375482409857E-07   -0.342259544082E-08    0.526687360424E-07   -0.278814316968E-07    0.937065619043E-08   -0.112945691651E-08   -0.231680259320E-07   -0.315160613559E-07    0.100557175696E-07   -0.960185342758E-07   -0.246550349832E-06   -0.115876121159E-06    0.150112948139E-06   -0.847415678009E-07   -0.209340967645E-07    0.359132532062E-07   -0.749810007149E-08   
 17.07 -0.478653717887E-04    0.519499166435E-05    0.266627297370E-04   -0.907897998939E-05   -0.403993973107E-05   -0.991375950623E-05    0.179681253211E-05    0.264456874934E-04   -0.157895835236E-04    0.249637235616E-05    0.335555306588E-08    0.157292947002E-05   -0.227033868181E-06   -0.593847878113E-05    0.217788714184E-05   -0.288366182864E-06    0.127747183295E-05   -0.879812010533E-06    0.301372268094E-06   -0.147435096438E-06   -0.139403541737E-06   -0.272156571821E-06    0.304286338134E-07    0.128648405755E-05   -0.309255298455E-06    0.233981688589E-07   -0.323017130025E-06    0.159447672092E-06   -0.398673665655E-07    0.129335001580E-07    0.723029448453E-07   -0.576777869448E-07    0.254510876455E-07   -0.609329449530E-08    0.523025539762E-09    0.335650412957E-10   -0.166463671112E-06    0.151940859712E-07   -0.130828861959E-06    0.297559370355E-07   -0.274134615735E-08    0.406699863325E-07   -0.197167662716E-07    0.615094577973E-08   -0.703238158185E-09   -0.147807659867E-07   -0.207284341469E-07    0.449533740734E-08   -0.624650362504E-07   -0.156834836548E-06   -0.700060097774E-07    0.915326201675E-07   -0.517392032953E-07   -0.132738654227E-07    0.223388989629E-07   -0.465652549800E-08   
 17.61 -0.394246479723E-04    0.413879428782E-05    0.243772629789E-04   -0.835420988174E-05   -0.322404140988E-05   -0.882385166017E-05    0.162855228223E-05    0.227193656979E-04   -0.135715884571E-04    0.216325942886E-05    0.147985813658E-08    0.135408391121E-05   -0.195445478562E-06   -0.496499577369E-05    0.184137533844E-05   -0.243569565412E-06    0.102943449873E-05   -0.714649599391E-06    0.244479805887E-06   -0.999737847792E-07   -0.841139811811E-07   -0.227914832161E-06    0.254818275087E-07    0.103639179017E-05   -0.260986262075E-06    0.223776317498E-07   -0.257406965334E-06    0.126677257903E-06   -0.326080963313E-07    0.815720538966E-08    0.552532996062E-07   -0.440768813703E-07    0.194494576876E-07   -0.465645867000E-08    0.399595084272E-09    0.140789578636E-10   -0.103130096908E-06    0.941378404649E-08   -0.102956147943E-06    0.235224683531E-07   -0.218154554275E-08    0.311243602147E-07   -0.140724944352E-07    0.409888140999E-08   -0.443464004691E-09   -0.915115141274E-08   -0.132102659694E-07    0.161420445630E-08   -0.394413830899E-07   -0.969518570403E-07   -0.410209397865E-07    0.541620178506E-07   -0.306579865981E-07   -0.816845590974E-08    0.134905845543E-07   -0.280760261815E-08   
