R_Bohr             v_0_0_0               v_1_0_1               v_1_1_0               v_1_1_2               v_2_0_2               v_2_1_1               v_2_1_3               v_2_2_0               v_2_2_2               v_2_2_4               v_3_0_3               v_3_1_2               v_3_1_4               v_3_2_1               v_3_2_3               v_3_2_5               v_3_3_0               v_3_3_2               v_3_3_4               v_3_3_6               v_4_0_4               v_4_1_3               v_4_1_5               v_4_2_2               v_4_2_4               v_4_2_6               v_4_3_1               v_4_3_3               v_4_3_5               v_4_3_7               v_4_4_0               v_4_4_2               v_4_4_4               v_4_4_6               v_4_4_8               v_5_0_5               v_5_1_4               v_5_1_6               v_5_2_3               v_5_2_5               v_5_2_7               v_5_3_2               v_5_3_4               v_5_3_6               v_5_3_8               v_5_4_1               v_5_4_3               v_5_4_5               v_5_4_7               v_5_4_9               v_5_5_0               v_5_5_2               v_5_5_4               v_5_5_6               v_5_5_8              v_5_5_10   
  6.80  0.121626239035E-01   -0.124619001400E-01    0.399083283336E-02   -0.386459711934E-02    0.148269396901E-01   -0.640701084301E-02    0.469425643446E-02    0.949402995638E-02   -0.808213198079E-02    0.498177908689E-02   -0.600868105551E-02    0.230566984852E-02   -0.110817848379E-02   -0.480563577137E-02    0.271970525234E-02   -0.117187074848E-02    0.197714666896E-02   -0.159912322687E-02    0.731117088111E-03   -0.154391790576E-03    0.358636603382E-02   -0.168513128932E-02    0.662886787401E-03    0.336983345605E-02   -0.156914054164E-02    0.558427989564E-03   -0.166115140588E-02    0.970296683163E-03   -0.386799564492E-03    0.315181752347E-04    0.110422340451E-02   -0.961363712244E-03    0.529812626229E-03   -0.178807857793E-03   -0.542585275032E-04   -0.876864374907E-03    0.436669921191E-03   -0.689253370255E-04   -0.104060424789E-02    0.371676111015E-03    0.209897193960E-04    0.593307807083E-03   -0.268711335420E-03    0.643370996546E-04    0.944126483924E-04   -0.518052913104E-03    0.322424425643E-03   -0.147825278865E-03    0.160739579930E-04    0.133369605414E-03    0.205396650061E-03   -0.191283758698E-03    0.116997144911E-03   -0.369590102421E-04   -0.202836886936E-04    0.110310152792E-03   
  7.01  0.571019293581E-02   -0.863250916915E-02    0.318079026624E-02   -0.313879846247E-02    0.996197294448E-02   -0.477373383247E-02    0.359414717123E-02    0.706040748336E-02   -0.594838431711E-02    0.371856439289E-02   -0.428927908159E-02    0.179663639578E-02   -0.944375655814E-03   -0.360265574450E-02    0.204483418602E-02   -0.930142253365E-03    0.148354539562E-02   -0.120471564049E-02    0.566984194525E-03   -0.157870088586E-03    0.250342156678E-02   -0.124016835443E-02    0.536340756559E-03    0.240714431640E-02   -0.112872507642E-02    0.436397626159E-03   -0.118684766274E-02    0.697497248575E-03   -0.288255338086E-03    0.507596802528E-04    0.756657337032E-03   -0.659192893769E-03    0.366517036629E-03   -0.130800673865E-03   -0.136885377912E-04   -0.616414225763E-03    0.313155873181E-03   -0.688201403621E-04   -0.721153773174E-03    0.264508672805E-03   -0.576055050963E-05    0.407748501061E-03   -0.186897311483E-03    0.506244745737E-04    0.509148015292E-04   -0.332927616370E-03    0.209250897248E-03   -0.953895408474E-04    0.134570337826E-04    0.652793688123E-04    0.119653715174E-03   -0.108345697833E-03    0.655393500751E-04   -0.247389240368E-04   -0.838610847971E-05    0.602274306619E-04   
  7.23  0.148899725831E-02   -0.575581088028E-02    0.246396478544E-02   -0.245534360393E-02    0.647410532683E-02   -0.347989498858E-02    0.267554748422E-02    0.522408865009E-02   -0.433878111113E-02    0.271723833712E-02   -0.299511276538E-02    0.136552368322E-02   -0.765701863522E-03   -0.268292945687E-02    0.151753677745E-02   -0.716847999681E-03    0.110227962498E-02   -0.896152129059E-03    0.429936970028E-03   -0.142243998811E-03    0.171535297819E-02   -0.891428992903E-03    0.416943691045E-03    0.170361375916E-02   -0.800575223626E-03    0.330005450479E-03   -0.844446192783E-03    0.496929969833E-03   -0.210334868208E-03    0.526447150579E-04    0.517611382550E-03   -0.450116551272E-03    0.251125961720E-03   -0.929359763175E-04    0.608428484962E-05   -0.423729227728E-03    0.220188498566E-03   -0.612747751380E-04   -0.492822173786E-03    0.183172878534E-03   -0.159603798839E-04    0.279573123804E-03   -0.129249489957E-03    0.383587255092E-04    0.261309644184E-04   -0.208800564633E-03    0.132575378783E-03   -0.597575726199E-04    0.976606667973E-05    0.277457640764E-04    0.683001285173E-04   -0.585871207020E-04    0.337714173403E-04   -0.155782453359E-04   -0.279990954291E-05    0.313437067742E-04   
  7.45 -0.111661317465E-02   -0.365205992589E-02    0.186229754136E-02   -0.185758759984E-02    0.403491139990E-02   -0.248561150398E-02    0.193931041285E-02    0.385130016127E-02   -0.314196376641E-02    0.194108807649E-02   -0.204115068856E-02    0.101496016164E-02   -0.594425659383E-03   -0.199231844242E-02    0.111587546584E-02   -0.539206360913E-03    0.813630689651E-03   -0.660670712638E-03    0.320309328755E-03   -0.117818232435E-03    0.115451310031E-02   -0.627339604362E-03    0.312638152052E-03    0.119778337603E-02   -0.561904105436E-03    0.242508109289E-03   -0.601271694168E-03    0.352504511332E-03   -0.151157397928E-03    0.457302047483E-04    0.354860467170E-03   -0.307278135039E-03    0.171055922320E-03   -0.644693276645E-04    0.137259712375E-04   -0.284733724113E-03    0.153965299271E-03   -0.508948057483E-04   -0.333197646624E-03    0.123429330005E-03   -0.174676118285E-04    0.192347913142E-03   -0.897036897791E-04    0.284833028164E-04    0.125944720339E-04   -0.127760415014E-03    0.820448444121E-04   -0.369009007010E-04    0.680978329463E-05    0.107103127097E-04    0.404691866749E-04   -0.322352749256E-04    0.164322450310E-04   -0.890905729290E-05   -0.912834217333E-06    0.155384189190E-04   
  7.68 -0.258698822723E-02   -0.216001475242E-02    0.137819650471E-02   -0.136249167857E-02    0.237520649876E-02   -0.174213422530E-02    0.136952948443E-02    0.283659469990E-02   -0.226455321473E-02    0.135427398860E-02   -0.135312960514E-02    0.739160357474E-03   -0.443758580028E-03   -0.148078646443E-02    0.816085180765E-03   -0.397529692566E-03    0.598582033246E-03   -0.484500999202E-03    0.235428813813E-03   -0.912639197763E-04    0.763908773462E-03   -0.433137160656E-03    0.226713039735E-03    0.839186065937E-03   -0.391849289287E-03    0.173677889785E-03   -0.430245213672E-03    0.249990570460E-03   -0.107539532408E-03    0.355515481685E-04    0.244542247526E-03   -0.210394608637E-03    0.116211476485E-03   -0.438509528815E-04    0.149139977105E-04   -0.186914188359E-03    0.108790447851E-03   -0.403062545717E-04   -0.223713629735E-03    0.808486178144E-04   -0.150687291004E-04    0.133266526918E-03   -0.630332918359E-04    0.210486714346E-04    0.551972003802E-05   -0.761550719884E-04    0.496486759912E-04   -0.229781362173E-04    0.506037482409E-05    0.593519924817E-05    0.272177957090E-04   -0.206431948649E-04    0.852171571302E-05   -0.423274476220E-05   -0.933488999860E-06    0.737845441754E-05   
  7.92 -0.328756577555E-02   -0.113948584504E-02    0.100257030611E-02   -0.970240881224E-03    0.128077613661E-02   -0.120014353366E-02    0.942258285559E-03    0.209589636311E-02   -0.163017227305E-02    0.922351133519E-03   -0.868434778369E-03    0.528305588675E-03   -0.319603721263E-03   -0.110532186264E-02    0.595785817321E-03   -0.288367086997E-03    0.440343278908E-03   -0.354739408327E-03    0.171367508234E-03   -0.665475569681E-04    0.497416606323E-03   -0.293977428143E-03    0.159299515847E-03    0.587936258779E-03   -0.272690078323E-03    0.121462585542E-03   -0.310261093293E-03    0.177799438508E-03   -0.760738596697E-04    0.253491958100E-04    0.169664186326E-03   -0.144791892043E-03    0.789457572565E-04   -0.293571576153E-04    0.131314552438E-04   -0.119746819956E-03    0.788369145317E-04   -0.308215945254E-04   -0.149805740497E-03    0.513752950906E-04   -0.114471926479E-04    0.930358131608E-04   -0.451576217449E-04    0.156946013538E-04    0.199828828172E-05   -0.440761390160E-04    0.294555567876E-04   -0.148369020947E-04    0.433840419802E-05    0.729486717409E-05    0.219027496167E-04   -0.170875044136E-04    0.598692201105E-05   -0.112238034632E-05   -0.170629311613E-05    0.344139036929E-05   
  8.17 -0.348897683001E-02   -0.472078056542E-03    0.720502946661E-03   -0.671358718840E-03    0.585837817020E-03   -0.814482697596E-03    0.631209546936E-03    0.156182294204E-02   -0.117756242126E-02    0.613291701399E-03   -0.535757551397E-03    0.371246772368E-03   -0.222652045099E-03   -0.830887723988E-03    0.435617102164E-03   -0.206602692960E-03    0.324932297977E-03   -0.260245688638E-03    0.123980826056E-03   -0.456989443394E-04    0.319048242679E-03   -0.196559648538E-03    0.108622225502E-03    0.413496032870E-03   -0.190196760028E-03    0.830636052657E-04   -0.225673558909E-03    0.127041842768E-03   -0.536875847583E-04    0.167389163408E-04    0.118515156627E-03   -0.100221475615E-03    0.537129607462E-04   -0.194127398456E-04    0.103547734369E-04   -0.747632694887E-04    0.590789069635E-04   -0.229406408209E-04   -0.100528540845E-03    0.315723869506E-04   -0.794224853812E-05    0.652777807877E-04   -0.331055386779E-04    0.119350919391E-04    0.347116258326E-06   -0.246155592852E-04    0.172285343370E-04   -0.101521837527E-04    0.423758868428E-05    0.106762317125E-04    0.200671748379E-04   -0.169153567660E-04    0.592793165754E-05    0.787025069679E-06   -0.254899530451E-05    0.168851116609E-05   
  8.43 -0.338582184276E-02   -0.607056699066E-04    0.515071350627E-03   -0.451728668313E-03    0.165520177973E-03   -0.546431897527E-03    0.411209951716E-03    0.118063738670E-02   -0.858469065183E-03    0.398540107462E-03   -0.314102574188E-03    0.257085802885E-03   -0.150386621190E-03   -0.630147052244E-03    0.319816518519E-03   -0.146768679305E-03    0.241196306696E-03   -0.191927505933E-03    0.894639852656E-04   -0.294306285505E-04    0.201672648566E-03   -0.129798200272E-03    0.719740706599E-04    0.293113227899E-03   -0.133458877893E-03    0.555894878015E-04   -0.165367037605E-03    0.912100066244E-04   -0.378689421601E-04    0.102760276619E-04    0.832318793942E-04   -0.697246005847E-04    0.366238778047E-04   -0.127213751397E-04    0.759160711600E-05   -0.454010136049E-04    0.456615405713E-04   -0.167050724290E-04   -0.679449510110E-04    0.186798958895E-04   -0.509642274319E-05    0.458008539647E-04   -0.248294452387E-04    0.930826846744E-05   -0.362755832966E-06   -0.131181633132E-04    0.100372644707E-04   -0.736411198329E-05    0.435773352004E-05    0.136619718890E-04    0.190707303759E-04   -0.173123318994E-04    0.652220938186E-05    0.180623998581E-05   -0.311707190990E-05    0.973788968933E-06   
  8.69 -0.311344312732E-02    0.171802038823E-03    0.369745892455E-03   -0.295935061787E-03   -0.717290067324E-04   -0.364378577937E-03    0.260053262661E-03    0.910127642196E-03   -0.635586251579E-03    0.253758497280E-03   -0.171495269269E-03    0.176023448600E-03   -0.987206499321E-04   -0.482520730508E-03    0.236145041957E-03   -0.103791462365E-03    0.180534177805E-03   -0.142672430641E-03    0.645976423779E-04   -0.176226387683E-04    0.125504108147E-03   -0.849249087940E-04    0.464067126489E-04    0.210237249099E-03   -0.944412108432E-04    0.364121123433E-04   -0.121720314116E-03    0.657119025799E-04   -0.266986932495E-04    0.589464224649E-05    0.586293000183E-04   -0.486717501318E-04    0.250187363560E-04   -0.828709262595E-05    0.526975611528E-05   -0.267436842835E-04    0.359196401370E-04   -0.119332704273E-04   -0.464741493287E-04    0.105734047036E-04   -0.302282679777E-05    0.319290550417E-04   -0.189810543014E-04    0.744033787894E-05   -0.620497553592E-06   -0.653678185986E-05    0.591865873779E-05   -0.552556829727E-05    0.440857692726E-05    0.151242449461E-04    0.176261733295E-04   -0.168935578944E-04    0.681171662123E-05    0.219600101658E-05   -0.329318611889E-05    0.695239133250E-06   
  8.96 -0.276233520787E-02    0.284761733116E-03    0.269748470423E-03   -0.189311410226E-03   -0.191211196244E-03   -0.243521765160E-03    0.159265647470E-03    0.717903644311E-03   -0.480661772237E-03    0.159120023139E-03   -0.835984543003E-04    0.119737818130E-03   -0.631655067590E-04   -0.372970420108E-03    0.175459810722E-03   -0.733488078781E-04    0.136491087818E-03   -0.107102481109E-03    0.468060543166E-04   -0.968775804387E-05    0.765744216532E-04   -0.552859532156E-04    0.291627961104E-04    0.153081554971E-03   -0.674361466757E-04    0.233251456184E-04   -0.896468666567E-04    0.473944753570E-04   -0.187817383617E-04    0.322415168004E-05    0.413153213350E-04   -0.340170648839E-04    0.171088658539E-04   -0.538199920388E-05    0.349934537854E-05   -0.152228640390E-04    0.282053330966E-04   -0.836398704988E-05   -0.322967991504E-04    0.567633928200E-05   -0.163419987418E-05    0.219690011565E-04   -0.147052751253E-04    0.605968202750E-05   -0.671805728426E-06   -0.292527741076E-05    0.360163123670E-05   -0.412837002005E-05    0.423460947353E-05    0.148157033021E-04    0.153467107524E-04   -0.152561361615E-04    0.644911862123E-05    0.216951145383E-05   -0.309935114625E-05    0.564149249720E-06   
