R_Bohr           v_0_0_0_0             v_0_0_2_2             v_0_0_4_4             v_1_0_0_1             v_1_0_2_1             v_1_0_2_2             v_1_0_2_3             v_2_0_0_2             v_2_0_2_0             v_2_0_2_1             v_2_0_2_2             v_2_0_2_3             v_2_0_2_4             v_3_0_0_3             v_3_0_2_1             v_3_0_2_2             v_3_0_2_3             v_3_0_2_4             v_3_0_2_5             v_3_3_0_3             v_3_3_2_1             v_3_3_2_2             v_3_3_2_3             v_3_3_2_4             v_3_3_2_5             v_4_0_0_4             v_4_0_2_2             v_4_0_2_3             v_4_0_2_4             v_4_0_2_5             v_4_0_2_6             v_4_3_0_4             v_4_3_2_2             v_4_3_2_3             v_4_3_2_4             v_4_3_2_5             v_4_3_2_6   
  6.03  0.829133498084E+02    0.439865583881E+02    0.177847668963E+01   -0.207041539725E+03    0.880494001043E+01    0.284475275115E-16   -0.609602175926E+03    0.161170119177E+03   -0.132126616964E+02    0.847276476860E-14   -0.317397438042E+01   -0.722734159753E-14   -0.705369654714E+03    0.218722965401E+03    0.509007623266E+01    0.338048875782E-15   -0.120941819785E+02    0.500560288013E-15    0.127065472081E+03   -0.290187309184E+03   -0.606027539155E+01    0.130535425667E+01    0.134492013695E+02    0.190319057542E+01   -0.236434651074E+03   -0.115675012046E+02    0.711390612380E+00   -0.130015033930E-15   -0.858164215664E+00   -0.155336410402E-14    0.448100251291E+02    0.791056000613E+02    0.180374748441E+01   -0.120346482069E+01   -0.381322797536E+01   -0.135185333958E+01    0.860568662337E+02   
  6.28 -0.419508003022E+03   -0.653036248658E+01    0.570156502537E-01   -0.133706566003E+03    0.520253290078E+01   -0.893523974750E-16   -0.511140314786E+03    0.145057299689E+03   -0.774537175829E+01    0.773893664471E-14   -0.401020932705E+01   -0.497075266213E-14   -0.566623147915E+03    0.116950860676E+03    0.345123613456E+01    0.282550890533E-15   -0.772713038623E+01   -0.119947426635E-15    0.952204461709E+02   -0.158851809134E+03   -0.388122240976E+01    0.797137015121E+00    0.829647950997E+01    0.132346561734E+01   -0.178366809028E+03   -0.137582025371E+02    0.555316773352E+00    0.611116315045E-15   -0.428747534333E+00   -0.645029072140E-15    0.330391482061E+02    0.443445738611E+02    0.123441335709E+01   -0.875942087994E+00   -0.241417405608E+01   -0.969993463869E+00    0.630398787572E+02   
  6.54 -0.651628628794E+03   -0.318027447579E+02   -0.758391959394E+00   -0.864025260457E+02    0.293221465242E+01   -0.141428301934E-15   -0.432684549143E+03    0.118720551758E+03   -0.440832261741E+01    0.688042441646E-14   -0.404623486183E+01   -0.349361811301E-14   -0.460758056802E+03    0.558417592771E+02    0.227025737891E+01    0.232415633511E-15   -0.487612950460E+01   -0.428317455509E-15    0.726275763080E+02   -0.805062451228E+02   -0.243737912205E+01    0.450880202585E+00    0.503855386627E+01    0.913360964408E+00   -0.136833500220E+03   -0.131507518070E+02    0.461507985959E+00    0.948908308239E-15   -0.199751138343E+00   -0.114930864423E-15    0.247590172042E+02    0.232944851003E+02    0.844861940241E+00   -0.647108066500E+00   -0.153432208125E+01   -0.695295694533E+00    0.469306122432E+02   
  6.79 -0.727592820999E+03   -0.423104915929E+02   -0.107535643151E+01   -0.560508825056E+02    0.150383481285E+01   -0.156804994526E-15   -0.369307914468E+03    0.912678676784E+02   -0.241223906254E+01    0.601201922046E-14   -0.370035707458E+01   -0.252091397023E-14   -0.378670598924E+03    0.203374758267E+02    0.143454946595E+01    0.189763657056E-15   -0.301984965536E+01   -0.555275071584E-15    0.563020775269E+02   -0.351016287215E+02   -0.149459784492E+01    0.241951417190E+00    0.299478721111E+01    0.641695504531E+00   -0.106594589553E+03   -0.113691294152E+02    0.399793437054E+00    0.105495021749E-14   -0.786760850619E-01    0.177333273044E-15    0.188421933283E+02    0.108622100186E+02    0.577291644066E+00   -0.479639284555E+00   -0.972691134437E+00   -0.481871455369E+00    0.354513382082E+02   
  7.04 -0.717802083993E+03   -0.445583846576E+02   -0.112244654089E+01   -0.366698520230E+02    0.623341259055E+00   -0.152883102047E-15   -0.317504619925E+03    0.668285137346E+02   -0.124655211222E+01    0.519514904182E-14   -0.320877393484E+01   -0.187411035805E-14   -0.314090312590E+03    0.686604242538E+00    0.860494046456E+00    0.154625581729E-15   -0.182121478317E+01   -0.581038521114E-15    0.442900898731E+02   -0.983689880329E+01   -0.880759337456E+00    0.129719924839E+00    0.171991803640E+01    0.468263111207E+00   -0.841878046119E+02   -0.925866140351E+01    0.367009278784E+00    0.103477195275E-14   -0.112569077882E-01    0.322273254777E-15    0.145440109845E+02    0.377258076010E+01    0.391985773338E+00   -0.353463842656E+00   -0.611395980925E+00   -0.314781158514E+00    0.271389911239E+02   
  7.29 -0.664722144434E+03   -0.424761990171E+02   -0.104667865420E+01   -0.243722810128E+02    0.105590184264E+00   -0.139943614366E-15   -0.274743753153E+03    0.468545951766E+02   -0.589243596143E+00    0.445831225069E-14   -0.269141877274E+01   -0.143799703912E-14   -0.262637943758E+03   -0.935441256942E+01    0.479542697181E+00    0.126123653674E-15   -0.105564759319E+01   -0.553655353711E-15    0.353080454319E+02    0.336592296646E+01   -0.479801559224E+00    0.763728540410E-01    0.931759320207E+00    0.356913976490E+00   -0.673099192598E+02   -0.724979980686E+01    0.353840523591E+00    0.951874589947E-15    0.270755489530E-01    0.378814448210E-15    0.113654098680E+02   -0.616754367203E-01    0.262125994228E+00   -0.256118203728E+00   -0.379069527931E+00   -0.191012143242E+00    0.210266111266E+02   
  7.55 -0.593437875056E+03   -0.384046646996E+02   -0.927834964422E+00   -0.164483283821E+02   -0.181219962685E+00   -0.123808338417E-15   -0.239136977235E+03    0.314290564446E+02   -0.237280097228E+00    0.381125320778E-14   -0.220803874336E+01   -0.113793255396E-14   -0.221182905159E+03   -0.137679896804E+02    0.227205023942E+00    0.102948594988E-15   -0.571943662690E+00   -0.501505117281E-15    0.284792760223E+02    0.956697740887E+01   -0.217705896895E+00    0.546512478203E-01    0.449997948657E+00    0.279167844125E+00   -0.543965913850E+02   -0.551526723262E+01    0.345312045923E+00    0.843411947567E-15    0.443923784316E-01    0.385317911996E-15    0.897708132945E+01   -0.198330759776E+01    0.167267323154E+00   -0.178612586910E+00   -0.225959789993E+00   -0.106512588765E+00    0.164582991317E+02   
  7.80 -0.517962641139E+03   -0.336504458130E+02   -0.805350116943E+00   -0.115150074631E+02   -0.306093975271E+00   -0.107510870604E-15   -0.209253233975E+03    0.200724356416E+02   -0.616712060264E-01    0.325238931089E-14   -0.178483467620E+01   -0.926535411023E-15   -0.187452466916E+03   -0.150051453462E+02    0.611203160902E-01    0.844637227154E-16   -0.272392508721E+00   -0.441135831322E-15    0.232299831969E+02    0.118428123617E+02   -0.507796790765E-01    0.483133798581E-01    0.161717831177E+00    0.223143371035E+00   -0.443847307080E+02   -0.413854343356E+01    0.329645333396E+00    0.730188421556E-15    0.505078481652E-01    0.365129313271E-15    0.714563382052E+01   -0.278048162395E+01    0.956471429897E-01   -0.115623620930E+00   -0.124446559640E+00   -0.563202632702E-01    0.130052591592E+02   
  8.05 -0.445250719097E+03   -0.288780709347E+02   -0.688926184763E+00   -0.831984840888E+01   -0.342006522101E+00   -0.923040914037E-16   -0.184021691044E+03    0.119343074228E+02    0.309678003860E-02    0.277520853839E-14   -0.142504429714E+01   -0.774511911518E-15   -0.159828172562E+03   -0.144831103290E+02   -0.435157742891E-01    0.694459668791E-16   -0.922790673951E-01   -0.380212853315E-15    0.191451658282E+02    0.119330168245E+02    0.445549262210E-01    0.513300000803E-01    0.126231495618E-02    0.178864854123E+00   -0.365547210407E+02   -0.305536882158E+01    0.307211688448E+00    0.622020250810E-15    0.493232686168E-01    0.331661942957E-15    0.573937238013E+01   -0.295279104823E+01    0.438070246461E-01   -0.642581215357E-01   -0.611490105355E-01   -0.287961509188E-01    0.103723543700E+02   
  8.31 -0.379524923154E+03   -0.244939292695E+02   -0.583593335893E+00   -0.618279388006E+01   -0.325278601424E+00   -0.789001066229E-16   -0.162532945177E+03    0.636348049954E+01    0.125823161697E-01    0.237111754598E-14   -0.113178696046E+01   -0.660450172183E-15   -0.136973468550E+03   -0.131992744970E+02   -0.103855872554E+00    0.572719299024E-16    0.115120464287E-01   -0.324017046868E-15    0.159170764427E+02    0.110588395984E+02    0.900823753059E-01    0.575298992852E-01   -0.811883233860E-01    0.146010920980E+00   -0.303368116841E+02   -0.223064417938E+01    0.276112491534E+00    0.524935296674E-15    0.468460216710E-01    0.293995637299E-15    0.463858875458E+01   -0.282432237645E+01    0.964091807059E-02   -0.238958765382E-01   -0.257183581031E-01   -0.164835627718E-01    0.833677243462E+01   
