
  4.00  0.273534072380E+04   -0.581823559290E+03    0.720914399328E+02   -0.495148083086E+03   -0.793980989063E+01    0.301067237523E+03    0.234223954236E+03   -0.684201701410E+01    0.233931268583E+03    0.244294600987E+03    0.156984960309E+03    0.142885151903E+03   -0.107025921232E+03   -0.336222645505E+03   -0.210616335192E+03   -0.189827599531E+03   -0.189618478955E+03   -0.185739964580E+03    0.141129197767E+03   -0.185585949594E+03   -0.935965329122E+02   -0.968933021133E+02    0.840346449453E+02    0.865914842087E+02    0.865099482962E+02    0.634712422633E+02    0.641703782190E+02    0.640964462247E+02   
  4.11  0.219903450932E+04   -0.475250319948E+03    0.596202879375E+02   -0.441073172332E+03   -0.800863070191E+01    0.261725433030E+03    0.198218485908E+03   -0.553221887818E+01    0.198021596190E+03    0.195632147453E+03    0.130688710637E+03    0.115451959496E+03   -0.829413320701E+02   -0.269650525157E+03   -0.175155033897E+03   -0.153632428589E+03   -0.153494945894E+03   -0.144847492674E+03    0.109756837171E+03   -0.144748069887E+03   -0.760975762474E+02   -0.773946720459E+02    0.683889848563E+02    0.693057874665E+02    0.692535751585E+02    0.505572523517E+02    0.494391178005E+02    0.493913128071E+02   
  4.21  0.176333789950E+04   -0.389148821385E+03    0.494058948705E+02   -0.394908260390E+03   -0.823203268775E+01    0.228935782765E+03    0.169793554495E+03   -0.544029627675E+01    0.169658816420E+03    0.157796630390E+03    0.109657074553E+03    0.948331893372E+02   -0.656211829408E+02   -0.217191746759E+03   -0.146467101740E+03   -0.125815096574E+03   -0.125723135216E+03   -0.114024135490E+03    0.865916519339E+02   -0.113959006288E+03   -0.618705360009E+02   -0.619565012309E+02    0.555210691844E+02    0.553778197470E+02    0.553437710385E+02    0.408846745625E+02    0.391757904500E+02    0.391444051120E+02   
  4.32  0.140862352606E+04   -0.318525574572E+03    0.409372883553E+02   -0.355170604159E+03   -0.825460378702E+01    0.201226036917E+03    0.146571413127E+03   -0.555800053389E+01    0.146477774237E+03    0.127476339781E+03    0.925049804439E+02    0.786882058298E+02   -0.526015820577E+02   -0.175015402953E+03   -0.123039723093E+03   -0.103882574453E+03   -0.103820084051E+03   -0.904120563974E+02    0.689948046606E+02   -0.903687480975E+02   -0.504133306205E+02   -0.497866756709E+02    0.451218733019E+02    0.443357203914E+02    0.443131453855E+02    0.333969489700E+02    0.316210106729E+02    0.316000973110E+02   
  4.42  0.111990173046E+04   -0.260164043279E+03    0.338835405991E+02   -0.320778186175E+03   -0.803255463549E+01    0.177643133001E+03    0.127222563249E+03   -0.554772375292E+01    0.127156584901E+03    0.102793476738E+03    0.783736971509E+02    0.657188860813E+02   -0.425115384393E+02   -0.140759950013E+03   -0.103818051510E+03   -0.863142666037E+02   -0.862711955501E+02   -0.721324779231E+02    0.553707544657E+02   -0.721032692666E+02   -0.412402471545E+02   -0.402143635050E+02    0.368038525024E+02    0.356607014476E+02    0.356455082611E+02    0.274720172869E+02    0.258231181618E+02    0.258089903959E+02   
  4.53  0.885311071993E+03   -0.211832276079E+03    0.280067864353E+02   -0.290890811539E+03   -0.763209428186E+01    0.157500597485E+03    0.110939020119E+03   -0.535943614437E+01    0.110891954442E+03    0.825963855491E+02    0.666794610103E+02    0.551578142208E+02   -0.345499392993E+02   -0.112851501928E+03   -0.880122083104E+02   -0.721155356969E+02   -0.720854675246E+02   -0.578879412593E+02    0.447000414940E+02   -0.578679835557E+02   -0.339166303600E+02   -0.326861942958E+02    0.301839945236E+02    0.288707442963E+02    0.288603802464E+02    0.227239812853E+02    0.212525094476E+02    0.212428453929E+02   
  4.63  0.695221304836E+03   -0.171851051631E+03    0.231180687933E+02   -0.264824244907E+03   -0.713691922375E+01    0.140254766608E+03    0.971673716975E+02   -0.504162581391E+01    0.971334214400E+02    0.660892442685E+02    0.569845512637E+02    0.465026596256E+02   -0.282087946384E+02   -0.901391853604E+02   -0.749957626518E+02   -0.605813314518E+02   -0.605600964428E+02   -0.467385388387E+02    0.362857144616E+02   -0.467247385197E+02   -0.280707271668E+02   -0.267543182707E+02    0.249209055661E+02    0.235536921008E+02    0.235465352391E+02    0.188938672822E+02    0.175941085811E+02    0.175874217855E+02   
  4.74  0.541693578973E+03   -0.138871344144E+03    0.190580761838E+02   -0.242006380973E+03   -0.661374467317E+01    0.125450466665E+03    0.854845097981E+02   -0.465860670675E+01    0.854597708761E+02    0.526550052518E+02    0.489369390198E+02    0.393878986907E+02   -0.231349792724E+02   -0.717139923823E+02   -0.642557791330E+02   -0.511776803674E+02   -0.511625246045E+02   -0.379786617729E+02    0.296212866785E+02   -0.379690142306E+02   -0.233942773617E+02   -0.220620506761E+02    0.207273434025E+02    0.193740954472E+02    0.193690978379E+02    0.157933550174E+02    0.146420778355E+02    0.146374020986E+02   
  4.84  0.418138423810E+03   -0.111764395203E+03    0.156898854342E+02   -0.221954297971E+03   -0.610519672815E+01    0.112699216212E+03    0.755443983304E+02   -0.426108822245E+01    0.755262034578E+02    0.417787430470E+02    0.422439281233E+02    0.335266840174E+02   -0.190641205698E+02   -0.568241179359E+02   -0.553680495587E+02   -0.434836165439E+02   -0.434726944195E+02   -0.310676155302E+02    0.243227998724E+02   -0.310608028528E+02   -0.196375360651E+02   -0.183292878718E+02    0.173702814407E+02    0.160675798543E+02    0.160640541015E+02    0.132770916981E+02    0.122489894719E+02    0.122456879569E+02   
  4.95  0.319079986061E+03   -0.895679702333E+02    0.128963428752E+02   -0.204260357470E+03   -0.563347238766E+01    0.101670149422E+03    0.670565764218E+02   -0.388057628267E+01    0.670430795162E+02    0.330179436392E+02    0.366605405995E+02    0.286854559144E+02   -0.157894616579E+02   -0.448363305509E+02   -0.479829399437E+02   -0.371616401849E+02   -0.371536983736E+02   -0.255877450750E+02    0.200926767069E+02   -0.255828891996E+02   -0.166017957437E+02   -0.153387237803E+02    0.146652563292E+02    0.134302786533E+02    0.134277676235E+02    0.112291998801E+02    0.103021031554E+02    0.102997507470E+02   
