     1      83      83       0       0
     1      50      50       0       0
     1      58      58       0       0
     1     176     176       0       0
     1      70      69       0       0
     1     110     110       0       0
     1     187     187       0       0
     1      16      15       0       0
     1     210     209       0       0
     1      90      90       0       0
     1     142     141       0       0
     1     220     220       0       0
     1     247     247       0       0
     1     136     135       0       0
     1     170     170       0       0
     1      87      86       0       0
     1      55      54       0       0
     1     134     134       0       0
     1     166     166       0       0
     1     248     247       0       0
     1       5       4       0       0
     1     251     251       0       0
     1     102     101       0       0
     1      54      53       0       0
     1      48      47       0       0
     1       7       7       0       0
     1      28      27       0       0
     1     112     111       0       0
     1     255     255       0       0
     1      74      73       0       0
     1      25      25       0       0
     1     229     229       0       0
     1      51      50       0       0
     1      71      70       0       0
     1     181     180       0       0
     1     157     156       0       0
     1      53      53       0       0
     1      18      18       0       0
     1      12      11       0       0
     1     121     120       0       0
     1     223     223       0       0
     1     151     151       0       0
     1      91      91       0       0
     1     168     168       0       0
     1     228     227       0       0
     1     156     155       0       0
     1     150     150       0       0
     1     194     194       0       0
     1     161     161       0       0
     1     132     132       0       0
