 #ENERGY           1
N#_traject     #CHNL=      1 ERR VALUE     #CHNL=      2 ERR VALUE     #CHNL=      3 ERR VALUE     #CHNL=      4 ERR VALUE     #CHNL=      5 ERR VALUE     #CHNL=      6 ERR VALUE     #CHNL=      7 ERR VALUE     #CHNL=      8 ERR VALUE     #CHNL=      9 ERR VALUE 
       24      13.800  0.3168244710E+01    19.306  0.9119953956E-01    51.067  0.1039602743E-02    10.389  0.8126614793E-01    21.009  0.1671921243E-02    47.062  0.1835065969E-03    20.977  0.1389820974E-02    28.235  0.1687970704E-03    40.805  0.1270892245E-03
       25      18.940  0.3050404871E+01     4.850  0.9030619440E-01    24.028  0.1093176281E-02    12.800  0.7919858632E-01     6.232  0.1693446393E-02    47.056  0.2029887916E-03    52.817  0.1557617139E-02    10.765  0.1725863606E-03     5.410  0.1257022027E-03
       26      16.504  0.2953002181E+01    22.542  0.9456643450E-01   101.436  0.1371134997E-02     3.704  0.7978915367E-01    30.113  0.1801885708E-02    90.475  0.2477937492E-03    97.256  0.1933412595E-02    71.103  0.2011731344E-03    38.041  0.1360451384E-03
       27       0.135  0.2953783265E+01    16.487  0.9160641361E-01    15.856  0.1329811563E-02    16.728  0.7725641618E-01     6.555  0.1825334493E-02    17.269  0.2396817642E-03    17.138  0.1870586050E-02    15.859  0.1951090309E-03    18.687  0.1312388514E-03
       28      22.549  0.3087690788E+01    18.570  0.8844757176E-01    18.570  0.1283955992E-02    18.570  0.7459240183E-01    18.570  0.1762391924E-02    18.570  0.2314168757E-03    18.570  0.1806083083E-02    18.570  0.1883811332E-03    18.570  0.1267133737E-03
       29       6.429  0.3050650945E+01    18.023  0.8553589434E-01     5.145  0.1271600573E-02    17.826  0.7216278963E-01    16.035  0.1817431847E-02     0.507  0.2311954225E-03     2.693  0.1815317793E-02     7.006  0.1909072934E-03    23.856  0.1326920720E-03
       30      15.743  0.2964047400E+01    22.657  0.8929046905E-01    82.651  0.1501996531E-02     4.683  0.7279540787E-01    26.958  0.1913150300E-02    78.248  0.2704740622E-03    87.906  0.2169218123E-02    59.269  0.2145021692E-03    31.291  0.1408729502E-03
       31      17.793  0.3063515460E+01    17.678  0.8650014189E-01    17.678  0.1455059139E-02    17.678  0.7052055137E-01    17.678  0.1853364353E-02    17.678  0.2620217478E-03    17.678  0.2101430056E-02    17.678  0.2077989764E-03    17.678  0.1364706705E-03
       32      11.030  0.3004030709E+01    11.164  0.8826918467E-01     8.057  0.1476413436E-02     9.863  0.7179173789E-01    10.978  0.1890624590E-02     8.925  0.2662880864E-03     1.499  0.2107100317E-02    11.354  0.2121225191E-03    29.735  0.1441661573E-03
       33       6.271  0.2971110060E+01    16.642  0.8574777708E-01     8.107  0.1455563716E-02    15.378  0.6989254650E-01    10.240  0.1925463397E-02     1.422  0.2656208735E-03     8.297  0.2076656660E-02     9.293  0.2156638223E-03    22.520  0.1501404022E-03
