energy#1, (U= 100.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
  49   0.19484092E+02     -0.10870343E+00       0.13195876E+01        0.12928027E+06      0.77195189E-04      0.67723605E-12       0       0
  50   0.19881726E+02     -0.10777239E+00       0.12113497E+01        0.12753090E+06      0.79092200E-04      0.35527137E-12       0       0
  51   0.20279361E+02     -0.10535560E+00       0.11047857E+01        0.12562565E+06      0.10168286E-03      0.75495166E-12       0       0
  52   0.20676995E+02     -0.10168172E+00       0.10012670E+01        0.12356450E+06      0.73461954E-04      0.84376950E-12       0       0
  53   0.21074630E+02     -0.97008113E-01       0.90192208E+00        0.12134748E+06      0.85437988E-04      0.84376950E-12       0       0
  54   0.21472264E+02     -0.91599236E-01       0.80761840E+00        0.11900921E+06      0.70734092E-04      0.55511151E-12       0       0
  55   0.21869899E+02     -0.85696816E-01       0.71897038E+00        0.11651506E+06      0.13273367E-03      0.42188475E-12       0       0
  56   0.22267533E+02     -0.79522664E-01       0.63636064E+00        0.11389966E+06      0.14406333E-03      0.68833828E-12       0       0
  57   0.22665168E+02     -0.73259973E-01       0.55996932E+00        0.11116302E+06      0.66224985E-04      0.94368957E-12       0       0
  58   0.23062802E+02     -0.67052799E-01       0.48981293E+00        0.10828782E+06      0.12816034E-03      0.13988810E-11       0       0
  59   0.23460437E+02     -0.61014906E-01       0.42577908E+00        0.10529137E+06      0.86386736E-04      0.73274720E-12       0       0
  60   0.23858071E+02     -0.55226926E-01       0.36765816E+00        0.10217368E+06      0.61115294E-04      0.32196468E-12       0       0
  61   0.24255706E+02     -0.49740440E-01       0.31517448E+00        0.98917422E+05      0.78104065E-04      0.35527137E-12       0       0
  62   0.24653340E+02     -0.44585893E-01       0.26801131E+00        0.95505282E+05      0.57296830E-04      0.58841820E-12       0       0
  63   0.25050975E+02     -0.39779364E-01       0.22582869E+00        0.91937257E+05      0.15853406E-03      0.67723605E-12       0       0
  64   0.25448609E+02     -0.35322066E-01       0.18827797E+00        0.88196027E+05      0.53066691E-04      0.37747583E-12       0       0
  65   0.25846244E+02     -0.31203386E-01       0.15501524E+00        0.84246951E+05      0.68757782E-04      0.82156504E-12       0       0
  66   0.26243878E+02     -0.27409121E-01       0.12570899E+00        0.80072709E+05      0.48316761E-04      0.58841820E-12       0       0
  67   0.26641513E+02     -0.23918472E-01       0.10004519E+00        0.75638659E+05      0.10688199E-03      0.31086245E-12       0       0
  68   0.27039148E+02     -0.20702927E-01       0.77734495E-01        0.70875519E+05      0.42874754E-04      0.51070259E-12       0       0
  69   0.27436782E+02     -0.17735998E-01       0.58515033E-01        0.65731328E+05      0.67808670E-04      0.48849813E-12       0       0
  70   0.27834417E+02     -0.14983297E-01       0.42155385E-01        0.60102163E+05      0.36431793E-04      0.41078252E-12       0       0
  71   0.28232051E+02     -0.12400795E-01       0.28463339E-01        0.53814819E+05      0.32653898E-04      0.39968029E-12       0       0
  72   0.28629686E+02     -0.99332961E-02       0.17296294E-01        0.46609487E+05      0.56032519E-04      0.33306691E-12       0       0
  73   0.29027320E+02     -0.74894070E-02       0.85849420E-02        0.37983874E+05      0.58493112E-04      0.66613381E-12       0       0
  74   0.29424955E+02     -0.48402385E-02       0.24201193E-02        0.26569659E+05      0.16162475E-04      0.17763568E-12       0       0
  75   0.29822589E+02      0.00000000E+00       0.00000000E+00        0.00000000E+00      0.00000000E+00      0.00000000E+00       0       0
 
