R_Bohr           v_0_0_0_0             v_0_0_2_2             v_0_0_4_4             v_1_0_0_1             v_1_0_2_1             v_1_0_2_2             v_1_0_2_3             v_2_0_0_2             v_2_0_2_0             v_2_0_2_1             v_2_0_2_2             v_2_0_2_3             v_2_0_2_4             v_3_0_0_3             v_3_0_2_1             v_3_0_2_2             v_3_0_2_3             v_3_0_2_4             v_3_0_2_5             v_3_3_0_3             v_3_3_2_1             v_3_3_2_2             v_3_3_2_3             v_3_3_2_4             v_3_3_2_5             v_4_0_0_4             v_4_0_2_2             v_4_0_2_3             v_4_0_2_4             v_4_0_2_5             v_4_0_2_6             v_4_3_0_4             v_4_3_2_2             v_4_3_2_3             v_4_3_2_4             v_4_3_2_5             v_4_3_2_6   
 18.68 -0.238097290913E+01   -0.102477837495E+00   -0.100626865219E-04   -0.413740923548E-01    0.665381129783E-03   -0.219909852084E-17   -0.638991603576E+01   -0.502883601089E-01   -0.224406585905E-05    0.328753720246E-16   -0.288934498896E-04   -0.183931728479E-16   -0.239714734981E+01   -0.387513873456E-01    0.120093476758E-04    0.545374916098E-18   -0.100041580336E-04   -0.194132299039E-17    0.146108625048E+00    0.227145957766E-01    0.136721185530E-05   -0.357104122845E-06   -0.802470012404E-06    0.165795246559E-04   -0.251801259693E+00   -0.955918068000E-03   -0.208538345014E-03   -0.135362552831E-18    0.120374874689E-03    0.762663172722E-18    0.428661999422E-02    0.387531834601E-03    0.169083390084E-04    0.396280877140E-05   -0.102996586511E-04   -0.450357786956E-05    0.309488444461E-01   
 18.93 -0.218837021544E+01   -0.935725742367E-01   -0.918390153877E-05   -0.375130229699E-01    0.599392432455E-03   -0.209772362579E-17   -0.605593164774E+01   -0.456104342959E-01   -0.195187634660E-05    0.306820897957E-16   -0.272910661466E-04   -0.172814887615E-16   -0.224134472652E+01   -0.350324063581E-01    0.111371146359E-04    0.507515902699E-18   -0.926987059756E-05   -0.178583594468E-17    0.135074530989E+00    0.204548748307E-01    0.125381463253E-05   -0.325641844981E-06   -0.736390136955E-06    0.151035061647E-04   -0.232484634433E+00   -0.852806028263E-03   -0.194517181787E-03   -0.244084621925E-18    0.112254013140E-03    0.631481998201E-18    0.390787765562E-02    0.344315785163E-03    0.154088448838E-04    0.363547942087E-05   -0.938576477496E-05   -0.410793931281E-05    0.281969097535E-01   
 19.18 -0.201360115507E+01   -0.855442799006E-01   -0.839200139503E-05   -0.340566039767E-01    0.540694209446E-03   -0.200224657631E-17   -0.574349913474E+01   -0.414214444594E-01   -0.169829373463E-05    0.286626862724E-16   -0.257820216062E-04   -0.162494251814E-16   -0.209753887391E+01   -0.317128757999E-01    0.103388078951E-04    0.472924603605E-18   -0.859836303826E-05   -0.164475184122E-17    0.125003816131E+00    0.184455977260E-01    0.115129505658E-05   -0.297308170860E-06   -0.676605015564E-06    0.137759239506E-04   -0.214877400614E+00   -0.761971875381E-03   -0.181615967897E-03   -0.336664318806E-18    0.104784131285E-03    0.515910424141E-18    0.356695459172E-02    0.306399551236E-03    0.140595568358E-04    0.333942604274E-05   -0.856346526702E-05   -0.375228336331E-05    0.257214489262E-01   
 19.44 -0.185481107346E+01   -0.782966925326E-01   -0.767741778695E-05   -0.309578978313E-01    0.488400463385E-03   -0.191224816385E-17   -0.545097012895E+01   -0.376648068903E-01   -0.147794812262E-05    0.268012597184E-16   -0.243616442506E-04   -0.152904299193E-16   -0.196466568956E+01   -0.287454374438E-01    0.960730968407E-05    0.441271171379E-18   -0.798354676741E-05   -0.151656390851E-17    0.115801296959E+00    0.166562374939E-01    0.105847286836E-05   -0.271757498384E-06   -0.622436142504E-06    0.125801809210E-04   -0.198808662807E+00   -0.681819506916E-03   -0.169731428200E-03   -0.415160503601E-18    0.979049778235E-04    0.414112110744E-18    0.325964962988E-02    0.273075727115E-03    0.128437474410E-04    0.307126756806E-05   -0.782255438892E-05   -0.343206474109E-05    0.234915740621E-01   
 19.69 -0.171035881959E+01   -0.717451763398E-01   -0.703174122222E-05   -0.281759238173E-01    0.441742425110E-03   -0.182734481147E-17   -0.517684155444E+01   -0.342911046659E-01   -0.128626257192E-05    0.250835505930E-16   -0.230252580958E-04   -0.143985566418E-16   -0.184176759238E+01   -0.260888626777E-01    0.893626616880E-05    0.412263332924E-18   -0.741999055277E-05   -0.139994038036E-17    0.107382260889E+00    0.150603174720E-01    0.974310232032E-06   -0.248686109593E-06   -0.573286384010E-06    0.115017177790E-04   -0.184126523763E+00   -0.610977315939E-03   -0.158771053648E-03   -0.481366903258E-18    0.915626060094E-04    0.324477631136E-18    0.298227434166E-02    0.243738810728E-03    0.117467345545E-04    0.282802954063E-05   -0.715407495708E-05   -0.314330981751E-05    0.214801870969E-01   
 19.94 -0.157878985228E+01   -0.658151926619E-01   -0.644756825699E-05   -0.256748386482E-01    0.400051809115E-03   -0.174718501509E-17   -0.491974116776E+01   -0.312571035091E-01   -0.111932874835E-05    0.234967531003E-16   -0.217682502007E-04   -0.135684029944E-16   -0.172798167459E+01   -0.237071941369E-01    0.831999735439E-05    0.385641663856E-18   -0.690284263830E-05   -0.129370221964E-17    0.996711999301E-01    0.136348312834E-01    0.897892873184E-06   -0.227826657429E-06   -0.528629262652E-06    0.105277410230E-04   -0.170695764999E+00   -0.548264281896E-03   -0.148651852725E-03   -0.536847900367E-18    0.857086397531E-04    0.245594585958E-18    0.273158497718E-02    0.217869472708E-03    0.107556094816E-04    0.260709043397E-05   -0.655015230903E-05   -0.288253808914E-05    0.196634742305E-01   
 20.19 -0.145881301867E+01   -0.604409880582E-01   -0.591837047031E-05   -0.234232382952E-01    0.362746632738E-03   -0.167144619517E-17   -0.467841469820E+01   -0.285249130278E-01   -0.973803229772E-06    0.220293504693E-16   -0.205861194755E-04   -0.127950556095E-16   -0.162252930005E+01   -0.215690164225E-01    0.775341852180E-05    0.361175509598E-18   -0.642776284729E-05   -0.119680391821E-17    0.926007110073E-01    0.123597518354E-01    0.828413929107E-06   -0.208943434325E-06   -0.487999775515E-06    0.964699009112E-05   -0.158395835263E+00   -0.492661527242E-03   -0.139299261920E-03   -0.582969206184E-18    0.802996335591E-04    0.176221922117E-18    0.250472414605E-02    0.195021412262E-03    0.985900409605E-05    0.240613566585E-05   -0.600385207190E-05   -0.264669531240E-05    0.180204730788E-01   
 20.45 -0.134928046566E+01   -0.555644664608E-01   -0.543838185867E-05   -0.213935618760E-01    0.329319180924E-03   -0.159983190523E-17   -0.445171439322E+01   -0.260612703814E-01   -0.846820845241E-06    0.206709707170E-16   -0.194745111955E-04   -0.120740411738E-16   -0.152470695713E+01   -0.196468351871E-01    0.723197161588E-05    0.338659457867E-18   -0.599086335936E-05   -0.110831691593E-17    0.861105392665E-01    0.112176147813E-01    0.765160092041E-06   -0.191828303739E-06   -0.450986508325E-06    0.884953761840E-05   -0.147119102797E+00   -0.443288404703E-03   -0.130646193247E-03   -0.620924193544E-18    0.752965132581E-04    0.115267825236E-18    0.229917074963E-02    0.174810349054E-03    0.904689093014E-05    0.222311812374E-05   -0.550905808069E-05   -0.243309644568E-05    0.165327013492E-01   
 20.70 -0.124917022944E+01   -0.511342177030E-01   -0.500250187624E-05   -0.195615816608E-01    0.299325770512E-03   -0.153206935123E-17   -0.423858880058E+01   -0.238369272752E-01   -0.735922096256E-06    0.194122601287E-16   -0.184292405712E-04   -0.114012828357E-16   -0.143387820152E+01   -0.179165474028E-01    0.675156525038E-05    0.317910282258E-18   -0.558865689369E-05   -0.102741525416E-17    0.801467442999E-01    0.101931644132E-01    0.707499694548E-06   -0.176297195613E-06   -0.417224850632E-06    0.812661776421E-05   -0.136769334097E+00   -0.399382349069E-03   -0.122632200055E-03   -0.651756540742E-18    0.706640864574E-04    0.617706557628E-19    0.211269691402E-02    0.156904783158E-03    0.831041123926E-05    0.205622420716E-05   -0.506036738884E-05   -0.223937685572E-05    0.151838376732E-01   
 20.95 -0.115757111909E+01   -0.471046791752E-01   -0.460621179089E-05   -0.179059658981E-01    0.272378027394E-03   -0.146790718262E-17   -0.403807364044E+01   -0.218261243474E-01   -0.638992255311E-06    0.182447720903E-16   -0.174463077601E-04   -0.107730613237E-16   -0.134946654800E+01   -0.163569885165E-01    0.630852213367E-05    0.298764289122E-18   -0.521801135990E-05   -0.953363139806E-18    0.746609722465E-01    0.927305201623E-02    0.654872443911E-06   -0.162187081735E-06   -0.386391142086E-06    0.747047838415E-05   -0.127260367513E+00   -0.360281864287E-03   -0.115202745124E-03   -0.676379734052E-18    0.663706132290E-04    0.148824822326E-19    0.194333087483E-02    0.141018222064E-03    0.764172684758E-05    0.190384455611E-05   -0.465299980894E-05   -0.206345050060E-05    0.139594467490E-01   
