#Files =              128
Non-Zero #Matrix Elements =             4360
The Matrix Cut-Off =  0.100000000000E-11 cm^-1
          file_#     #non_zero_Mij
               1                34
               2                33
               3                35
               4                36
               5                34
               6                32
               7                37
               8                33
               9                32
              10                32
              11                38
              12                31
              13                31
              14                30
              15                34
              16                34
              17                35
              18                32
              19                38
              20                29
              21                38
              22                28
              23                28
              24                37
              25                28
              26                38
              27                31
              28                34
              29                38
              30                34
              31                30
              32                38
              33                27
              34                37
              35                33
              36                30
              37                38
              38                37
              39                26
              40                38
              41                38
              42                32
              43                30
              44                38
              45                38
              46                35
              47                27
              48                38
              49                38
              50                23
              51                38
              52                37
              53                24
              54                38
              55                38
              56                34
              57                26
              58                38
              59                38
              60                38
              61                26
              62                34
              63                38
              64                38
              65                38
              66                26
              67                33
              68                38
              69                38
              70                38
              71                21
              72                38
              73                38
              74                38
              75                27
              76                31
              77                38
              78                38
              79                38
              80                34
              81                24
              82                38
              83                38
              84                38
              85                38
              86                30
              87                27
              88                38
              89                38
              90                38
              91                38
              92                35
              93                22
              94                38
              95                38
              96                38
              97                38
              98                25
              99                31
             100                38
             101                38
             102                38
             103                30
             104                26
             105                38
             106                38
             107                38
             108                38
             109                34
             110                19
             111                37
             112                37
             113                37
             114                37
             115                37
             116                36
             117                19
             118                35
             119                37
             120                37
             121                37
             122                37
             123                37
             124                28
             125                24
             126                37
             127                37
             128                37
