           1           1
           2           2
           3           3
           4           4
           5           2
           5           5
           6           6
           7           4
           7           7
           8           8
           9           1
           9           9
          10          10
          11           3
          11          11
          12           2
          12          12
          13          13
          14           4
          14          14
          15          15
          16           2
          16          12
          16          16
          17           3
          17          11
          17          17
          18           4
          18          14
          18          18
