COLLISION_TYPE= 4
NUMBER_OF_CHANLS=    9
NUMBER_OF_STATES=     35
MATRIX_SIZE=       147
R_GRID_SIZE=    2
  #STATE #CHANNEL J12 M12   J  KA  KC
              47        2  0.000000000000E+00
              48        1  0.000000000000E+00
              48        2  0.000000000000E+00
              49        1  0.000000000000E+00
              49        2  0.000000000000E+00
              50        1 -0.671787242257E-04
              50        2 -0.443117593504E-04
              51        1 -0.104320881999E-04
              51        2  0.109142928144E-05
              52        1  0.000000000000E+00
              52        2  0.000000000000E+00
              53        1 -0.174381069273E-04
              53        2 -0.587755815651E-06
              54        1  0.000000000000E+00
              54        2  0.000000000000E+00
              55        1 -0.695839365502E-04
              55        2 -0.427112636858E-04
              56        1  0.000000000000E+00
              56        2  0.000000000000E+00
              57        1 -0.355847908906E-04
              57        2 -0.401754816236E-04
              58        1  0.187057106901E-04
              58        2 -0.226452846357E-05
              59        1  0.000000000000E+00
              59        2  0.000000000000E+00
              60        1 -0.551185155402E-04
              60        2 -0.425851141347E-04
              61        1  0.000000000000E+00
              61        2  0.000000000000E+00
              62        1  0.341231437210E-04
              62        2  0.287795555262E-05
              63        1  0.000000000000E+00
              63        2  0.000000000000E+00
              64        1  0.190082592195E-04
              64        2 -0.290447179837E-05
              65        1  0.000000000000E+00
              65        2  0.000000000000E+00
              66        1 -0.560699075846E-04
              66        2 -0.419426390824E-04
              67        1  0.000000000000E+00
              67        2  0.000000000000E+00
              68        1  0.000000000000E+00
              68        2  0.000000000000E+00
              69        1  0.000000000000E+00
              69        2  0.000000000000E+00
              70        1  0.000000000000E+00
              70        2  0.000000000000E+00
              71        1  0.000000000000E+00
              71        2  0.000000000000E+00
              72        1  0.000000000000E+00
              72        2  0.000000000000E+00
              73        1 -0.551393328577E-04
              73        2 -0.410297435352E-04
              74        1  0.000000000000E+00
              74        2  0.000000000000E+00
              75        1 -0.341231437210E-04
              75        2 -0.287795555262E-05
              76        1  0.000000000000E+00
              76        2  0.000000000000E+00
              77        1 -0.190082592195E-04
              77        2  0.290447179837E-05
              78        1  0.000000000000E+00
              78        2  0.000000000000E+00
              79        1 -0.560699075846E-04
              79        2 -0.419426390824E-04
              80        1 -0.187057106901E-04
              80        2  0.226452846357E-05
              81        1  0.000000000000E+00
              81        2  0.000000000000E+00
              82        1 -0.551185155402E-04
              82        2 -0.425851141347E-04
              83        1  0.000000000000E+00
              83        2  0.000000000000E+00
              84        1 -0.171106719403E-04
              84        2  0.221371639526E-05
              85        1  0.000000000000E+00
              85        2  0.000000000000E+00
              86        1 -0.747006596930E-04
              86        2 -0.432829084886E-04
              87        1 -0.166850367937E-04
              87        2 -0.229019973697E-05
              88        1  0.000000000000E+00
              88        2  0.000000000000E+00
              89        1 -0.184505652278E-04
              89        2  0.277701173095E-05
              90        1  0.000000000000E+00
              90        2  0.000000000000E+00
              91        1 -0.153300067959E-05
              91        2  0.283351540868E-06
              92        1  0.000000000000E+00
              92        2  0.000000000000E+00
              93        1 -0.452788286919E-04
              93        2 -0.414278301524E-04
              94        1  0.000000000000E+00
              94        2  0.000000000000E+00
              95        1  0.000000000000E+00
              95        2  0.000000000000E+00
