energy#1, (U= 800.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
  49   0.99833075E+01     -0.28026167E-01       0.24919771E+00        0.38199793E+05      0.28740360E-06      0.46629367E-12       0       0
  50   0.10187048E+02     -0.24577592E-01       0.22289583E+00        0.38089566E+05      0.28665402E-06      0.49960036E-12       0       0
  51   0.10390789E+02     -0.21567649E-01       0.19982321E+00        0.37973215E+05      0.28587933E-06      0.52180482E-12       0       0
  52   0.10594530E+02     -0.18970096E-01       0.17955434E+00        0.37856864E+05      0.28510575E-06      0.64392935E-12       0       0
  53   0.10798271E+02     -0.16742637E-01       0.16169797E+00        0.37740513E+05      0.34117255E-06      0.75495166E-12       0       0
  54   0.11002012E+02     -0.14819716E-01       0.14591680E+00        0.37618039E+05      0.28347356E-06      0.10214052E-11       0       0
  55   0.11205753E+02     -0.13134491E-01       0.13193969E+00        0.37501688E+05      0.28264782E-06      0.32196468E-12       0       0
  56   0.11409494E+02     -0.11655626E-01       0.11954464E+00        0.37379213E+05      0.55037821E-06      0.73274720E-12       0       0
  57   0.11613235E+02     -0.10375666E-01       0.10852899E+00        0.37256739E+05      0.45270065E-06      0.53290705E-12       0       0
  58   0.11816976E+02     -0.92719931E-02       0.98705160E-01        0.37134265E+05      0.76635103E-06      0.78825835E-12       0       0
  59   0.12020717E+02     -0.83069205E-02       0.89915703E-01        0.37011790E+05      0.43443031E-06      0.79936058E-12       0       0
  60   0.12224458E+02     -0.74531168E-02       0.82035685E-01        0.36883192E+05      0.27820942E-06      0.46629367E-12       0       0
  61   0.12428199E+02     -0.66965825E-02       0.74960835E-01        0.36754594E+05      0.27726215E-06      0.69944051E-12       0       0
  62   0.12631940E+02     -0.60318069E-02       0.68596640E-01        0.36619872E+05      0.40766183E-06      0.69944051E-12       0       0
  63   0.12835681E+02     -0.54490405E-02       0.62856217E-01        0.36485150E+05      0.27531087E-06      0.68833828E-12       0       0
  64   0.13039422E+02     -0.49326759E-02       0.57665358E-01        0.36350428E+05      0.27431388E-06      0.48849813E-12       0       0
  65   0.13243163E+02     -0.44695893E-02       0.52964226E-01        0.36215706E+05      0.27329297E-06      0.51070259E-12       0       0
  66   0.13446904E+02     -0.40558732E-02       0.48701494E-01        0.36074860E+05      0.27225178E-06      0.42188475E-12       0       0
  67   0.13650645E+02     -0.36879832E-02       0.44829566E-01        0.35934015E+05      0.27119287E-06      0.76605389E-12       0       0
  68   0.13854386E+02     -0.33605669E-02       0.41305291E-01        0.35787045E+05      0.75417659E-06      0.88817842E-12       0       0
  69   0.14058127E+02     -0.30661217E-02       0.38091947E-01        0.35640076E+05      0.26901547E-06      0.84376950E-12       0       0
  70   0.14261868E+02     -0.27978682E-02       0.35159952E-01        0.35486983E+05      0.26789511E-06      0.14321877E-11       0       0
  71   0.14465609E+02     -0.25600333E-02       0.32481001E-01        0.35340013E+05      0.45748083E-06      0.82156504E-12       0       0
  72   0.14669350E+02     -0.23475122E-02       0.30027228E-01        0.35180796E+05      0.47518842E-06      0.55511151E-12       0       0
  73   0.14873091E+02     -0.21541525E-02       0.27776396E-01        0.35021580E+05      0.26441038E-06      0.31086245E-12       0       0
  74   0.15076832E+02     -0.19783968E-02       0.25710121E-01        0.34862363E+05      0.51912599E-06      0.46629367E-12       0       0
  75   0.15280573E+02     -0.18190492E-02       0.23811398E-01        0.34697022E+05      0.26197934E-06      0.42188475E-12       0       0
  76   0.15484314E+02     -0.16744588E-02       0.22064644E-01        0.34531682E+05      0.30109232E-06      0.86597396E-12       0       0
  77   0.15688055E+02     -0.15430077E-02       0.20455911E-01        0.34366341E+05      0.25945802E-06      0.48849813E-12       0       0
  78   0.15891796E+02     -0.14233711E-02       0.18972722E-01        0.34194877E+05      0.44551713E-06      0.35527137E-12       0       0
  79   0.16095537E+02     -0.13143348E-02       0.17603869E-01        0.34017289E+05      0.25684621E-06      0.33306691E-12       0       0
  80   0.16299277E+02     -0.12148531E-02       0.16339275E-01        0.33839701E+05      0.25550556E-06      0.95479180E-12       0       0
  81   0.16503018E+02     -0.11239805E-02       0.15169858E-01        0.33655989E+05      0.46566906E-06      0.73274720E-12       0       0
  82   0.16706759E+02     -0.10408750E-02       0.14087430E-01        0.33472277E+05      0.67788484E-06      0.54400928E-12       0       0
  83   0.16910500E+02     -0.96477753E-03       0.13084604E-01        0.33282442E+05      0.25133630E-06      0.73274720E-12       0       0
  84   0.17114241E+02     -0.89503119E-03       0.12154700E-01        0.33092606E+05      0.48471507E-06      0.47739590E-12       0       0
  85   0.17317982E+02     -0.83103501E-03       0.11291666E-01        0.32896647E+05      0.24843236E-06      0.66613381E-12       0       0
  86   0.17521723E+02     -0.77225548E-03       0.10490021E-01        0.32700688E+05      0.57825870E-06      0.35527137E-12       0       0
  87   0.17725464E+02     -0.71820397E-03       0.97447914E-02        0.32498605E+05      0.39974504E-06      0.72164497E-12       0       0
  88   0.17929205E+02     -0.66845868E-03       0.90514601E-02        0.32296522E+05      0.24387828E-06      0.93258734E-12       0       0
  89   0.18132946E+02     -0.62262895E-03       0.84059163E-02        0.32088316E+05      0.24230608E-06      0.39968029E-12       0       0
  90   0.18336687E+02     -0.58036413E-03       0.78044198E-02        0.31873985E+05      0.63722049E-06      0.79936058E-12       0       0
  91   0.18540428E+02     -0.54135351E-03       0.72435610E-02        0.31659655E+05      0.23907659E-06      0.26645353E-12       0       0
  92   0.18744169E+02     -0.50531006E-03       0.67202292E-02        0.31439201E+05      0.23741812E-06      0.78825835E-12       0       0
  93   0.18947910E+02     -0.47197953E-03       0.62315844E-02        0.31212623E+05      0.23573044E-06      0.66613381E-12       0       0
  94   0.19151651E+02     -0.44113512E-03       0.57750271E-02        0.30986045E+05      0.50431834E-06      0.77715612E-12       0       0
  95   0.19355392E+02     -0.41256004E-03       0.53481795E-02        0.30753344E+05      0.32306318E-06      0.37747583E-12       0       0
  96   0.19559133E+02     -0.38607137E-03       0.49488638E-02        0.30520642E+05      0.23047923E-06      0.84376950E-12       0       0
  97   0.19762874E+02     -0.36148630E-03       0.45750849E-02        0.30275693E+05      0.22866515E-06      0.44408921E-12       0       0
  98   0.19966615E+02     -0.33865974E-03       0.42250119E-02        0.30030744E+05      0.22681668E-06      0.59952043E-12       0       0
  99   0.20170356E+02     -0.31744864E-03       0.38969577E-02        0.29785795E+05      0.22493439E-06      0.51070259E-12       0       0
 100   0.20374097E+02     -0.29771176E-03       0.35893775E-02        0.29528599E+05      0.32781913E-06      0.75495166E-12       0       0
 101   0.20577838E+02     -0.27934472E-03       0.33008493E-02        0.29271402E+05      0.22106349E-06      0.73274720E-12       0       0
 102   0.20781579E+02     -0.26223350E-03       0.30300602E-02        0.29008082E+05      0.21907343E-06      0.53290705E-12       0       0
 103   0.20985320E+02     -0.24627935E-03       0.27758038E-02        0.28738638E+05      0.57242778E-06      0.57731597E-12       0       0
 104   0.21189061E+02     -0.23139288E-03       0.25369676E-02        0.28463071E+05      0.21497685E-06      0.47739590E-12       0       0
 105   0.21392802E+02     -0.21749962E-03       0.23125214E-02        0.28187503E+05      0.21286932E-06      0.35527137E-12       0       0
 106   0.21596543E+02     -0.20451139E-03       0.21015159E-02        0.27899688E+05      0.30268731E-06      0.77715612E-12       0       0
 107   0.21800284E+02     -0.19237231E-03       0.19030740E-02        0.27611873E+05      0.20852781E-06      0.64392935E-12       0       0
 108   0.22004025E+02     -0.18100627E-03       0.17163847E-02        0.27311811E+05      0.20629126E-06      0.25535130E-12       0       0
 109   0.22207766E+02     -0.17036966E-03       0.15406968E-02        0.27011748E+05      0.43538747E-06      0.37747583E-12       0       0
