STATE= 1
j12= 0
m12= 0
ENERGY#1, U(i)= 800.000 cm^-1
B_IMPACT            L   TOT_ELAST_PROB TOT_INELAST_PROB
 0.21189061E+02    104  0.10000000E+01  0.64627164E-08
 0.21392802E+02    105  0.10000000E+01  0.55785606E-08
 0.21596543E+02    106  0.10000000E+01  0.48164375E-08
 0.21800284E+02    107  0.10000000E+01  0.41589996E-08
 0.22004025E+02    108  0.10000000E+01  0.35914599E-08
 0.22207766E+02    109  0.10000000E+01  0.31012000E-08
 0.22411507E+02    110  0.10000000E+01  0.26774390E-08
 0.22615248E+02    111  0.10000000E+01  0.23109551E-08
 0.22818988E+02    112  0.10000000E+01  0.19938509E-08
 0.23022729E+02    113  0.10000000E+01  0.17193574E-08
 0.23226470E+02    114  0.10000000E+01  0.14816661E-08
 0.23430211E+02    115  0.10000000E+01  0.12757867E-08
 0.23633952E+02    116  0.10000000E+01  0.10974287E-08
 0.23837693E+02    117  0.10000000E+01  0.94289887E-09
 0.24041434E+02    118  0.10000000E+01  0.80901563E-09
 0.24245175E+02    119  0.10000000E+01  0.69303496E-09
 0.24448916E+02    120  0.10000000E+01  0.59258853E-09
 0.24652657E+02    121  0.10000000E+01  0.50562976E-09
 0.24856398E+02    122  0.10000000E+01  0.43038961E-09
 
