            4815       99  0.127446963938E-06
            4815      100  0.122901207029E-06
            4815      101  0.118556864043E-06
            4816        1  0.359685407861E-02
            4816        2  0.222786249792E-02
            4816        3  0.124330132995E-02
            4816        4  0.749701110967E-03
            4816        5  0.481989403021E-03
            4816        6  0.326970108270E-03
            4816        7  0.231859738800E-03
            4816        8  0.169667650007E-03
            4816        9  0.127487935421E-03
            4816       10  0.980770235767E-04
            4816       11  0.768998909238E-04
            4816       12  0.613878105355E-04
            4816       13  0.499172128385E-04
            4816       14  0.412346220705E-04
            4816       15  0.344753131524E-04
            4816       16  0.291395770358E-04
            4816       17  0.248547553049E-04
            4816       18  0.213901937556E-04
            4816       19  0.185557406646E-04
            4816       20  0.161946851193E-04
            4816       21  0.141985914512E-04
            4816       22  0.125068334946E-04
            4816       23  0.110610491145E-04
            4816       24  0.980603428035E-05
            4816       25  0.871166564904E-05
            4816       26  0.775978016162E-05
            4816       27  0.693228874579E-05
            4816       28  0.621210217283E-05
            4816       29  0.558533751079E-05
            4816       30  0.503875322668E-05
            4816       31  0.455916213434E-05
            4816       32  0.413582369903E-05
            4816       33  0.376168610898E-05
            4816       34  0.343051200791E-05
            4816       35  0.313533959079E-05
            4816       36  0.287127193353E-05
            4816       37  0.263475871412E-05
            4816       38  0.242229610493E-05
            4816       39  0.223062117637E-05
            4816       40  0.205746895068E-05
            4816       41  0.190086390268E-05
            4816       42  0.175884678135E-05
            4816       43  0.162988656095E-05
            4816       44  0.151321905440E-05
            4816       45  0.140666431014E-05
            4816       46  0.130912223883E-05
            4816       47  0.121990902383E-05
            4816       48  0.113818659334E-05
            4816       49  0.106321131538E-05
            4816       50  0.994324404443E-06
            4816       51  0.930941021937E-06
            4816       52  0.872540928709E-06
            4816       53  0.818660447456E-06
            4816       54  0.768885534162E-06
            4816       55  0.722845790820E-06
            4816       56  0.680209279439E-06
            4816       57  0.640678019824E-06
            4816       58  0.603984072218E-06
            4816       59  0.569886121636E-06
            4816       60  0.538166493375E-06
            4816       61  0.508628540033E-06
            4816       62  0.481094349300E-06
            4816       63  0.455402729342E-06
            4816       64  0.431407434872E-06
            4816       65  0.408975602357E-06
            4816       66  0.387986367315E-06
            4816       67  0.368329640411E-06
            4816       68  0.349905022360E-06
            4816       69  0.332620840324E-06
            4816       70  0.316393290886E-06
            4816       71  0.301145676633E-06
            4816       72  0.286807725128E-06
            4816       73  0.273314980498E-06
            4816       74  0.260608259132E-06
            4816       75  0.248633162055E-06
            4816       76  0.237339637511E-06
            4816       77  0.226681588050E-06
            4816       78  0.216616517152E-06
            4816       79  0.207105211019E-06
            4816       80  0.198111451669E-06
            4816       81  0.189601757965E-06
            4816       82  0.181545151572E-06
            4816       83  0.173912945214E-06
            4816       84  0.166678550879E-06
            4816       85  0.159817305927E-06
            4816       86  0.153306315231E-06
            4816       87  0.147124307756E-06
            4816       88  0.141251506105E-06
            4816       89  0.135669507733E-06
            4816       90  0.130361176707E-06
            4816       91  0.125310544960E-06
            4816       92  0.120502722123E-06
            4816       93  0.115923813127E-06
            4816       94  0.111560842826E-06
            4816       95  0.107401686989E-06
