energy#1, (U= 100.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
  49   0.11914469E+02     -0.12473533E+00       0.89875971E+00        0.14997828E+06      0.23319574E-04      0.37747583E-12       0       0
  50   0.12157621E+02     -0.10612412E+00       0.78332999E+00        0.14751877E+06      0.51415970E-04      0.39968029E-12       0       0
  51   0.12400774E+02     -0.90941982E-01       0.68479694E+00        0.14514586E+06      0.28400491E-04      0.11546319E-11       0       0
  52   0.12643926E+02     -0.78410035E-01       0.60012093E+00        0.14282491E+06      0.29630287E-04      0.39968029E-12       0       0
  53   0.12887079E+02     -0.67962759E-01       0.52693453E+00        0.14053860E+06      0.21054711E-04      0.77715612E-12       0       0
  54   0.13130231E+02     -0.59178430E-01       0.46336394E+00        0.13823497E+06      0.19390163E-04      0.64392935E-12       0       0
  55   0.13373384E+02     -0.51739137E-01       0.40790515E+00        0.13594867E+06      0.34264192E-04      0.31086245E-12       0       0
  56   0.13616536E+02     -0.45396405E-01       0.35933738E+00        0.13361040E+06      0.18814548E-04      0.12767565E-11       0       0
  57   0.13859688E+02     -0.39958467E-01       0.31665995E+00        0.13125481E+06      0.18512025E-04      0.10880186E-11       0       0
  58   0.14102841E+02     -0.35271729E-01       0.27904485E+00        0.12886458E+06      0.55350097E-04      0.10658141E-11       0       0
  59   0.14345993E+02     -0.31212973E-01       0.24580250E+00        0.12642239E+06      0.21337205E-04      0.75495166E-12       0       0
  60   0.14589146E+02     -0.27682263E-01       0.21635488E+00        0.12391091E+06      0.17539366E-04      0.82156504E-12       0       0
  61   0.14832298E+02     -0.24598543E-01       0.19021448E+00        0.12133016E+06      0.31887284E-04      0.65503158E-12       0       0
  62   0.15075451E+02     -0.21895109E-01       0.16696765E+00        0.11868012E+06      0.30224879E-04      0.83266727E-12       0       0
  63   0.15318603E+02     -0.19516163E-01       0.14626202E+00        0.11594348E+06      0.16455360E-04      0.82156504E-12       0       0
  64   0.15561755E+02     -0.17415699E-01       0.12779608E+00        0.11312024E+06      0.20237406E-04      0.33306691E-12       0       0
  65   0.15804908E+02     -0.15554587E-01       0.11131094E+00        0.11019307E+06      0.16308444E-04      0.10436096E-11       0       0
  66   0.16048060E+02     -0.13900403E-01       0.96583447E-01        0.10716198E+06      0.15236345E-04      0.97699626E-12       0       0
  67   0.16291213E+02     -0.12424464E-01       0.83421013E-01        0.10399233E+06      0.14794345E-04      0.62172489E-12       0       0
  68   0.16534365E+02     -0.11104156E-01       0.71656703E-01        0.10070143E+06      0.43319317E-04      0.99920072E-12       0       0
  69   0.16777518E+02     -0.99183692E-02       0.61145441E-01        0.97254653E+05      0.13846681E-04      0.82156504E-12       0       0
  70   0.17020670E+02     -0.88495223E-02       0.51761495E-01        0.93634667E+05      0.13336511E-04      0.48849813E-12       0       0
  71   0.17263822E+02     -0.78824562E-02       0.43395506E-01        0.89824155E+05      0.12798293E-04      0.46629367E-12       0       0
  72   0.17506975E+02     -0.70033973E-02       0.35952579E-01        0.85788476E+05      0.12228337E-04      0.41078252E-12       0       0
  73   0.17750127E+02     -0.62010066E-02       0.29350377E-01        0.81510311E+05      0.11621951E-04      0.37747583E-12       0       0
  74   0.17993280E+02     -0.54647964E-02       0.23517476E-01        0.76955017E+05      0.19331616E-04      0.11768364E-11       0       0
  75   0.18236432E+02     -0.47827462E-02       0.18393704E-01        0.72018673E+05      0.10273774E-04      0.57731597E-12       0       0
  76   0.18479585E+02     -0.41475756E-02       0.13928543E-01        0.66683956E+05      0.15451381E-04      0.65503158E-12       0       0
  77   0.18722737E+02     -0.35466184E-02       0.10081446E-01        0.60777663E+05      0.86740262E-05      0.48849813E-12       0       0
  78   0.18965889E+02     -0.29704434E-02       0.68229154E-02        0.54178549E+05      0.77321269E-05      0.36637360E-12       0       0
  79   0.19209042E+02     -0.24012348E-02       0.41370763E-02        0.46540205E+05      0.66433887E-05      0.48849813E-12       0       0
  80   0.19452194E+02     -0.18115971E-02       0.20306604E-02        0.37256413E+05      0.53184010E-05      0.39968029E-12       0       0
  81   0.19695347E+02     -0.11248618E-02       0.56243092E-03        0.24508519E+05      0.34982911E-05      0.28865799E-12       0       0
  82   0.19938499E+02      0.00000000E+00       0.00000000E+00        0.00000000E+00      0.00000000E+00      0.00000000E+00       0       0
 
