R_Bohr           v_0_0_0_0             v_0_0_2_2             v_0_0_4_4             v_1_0_0_1             v_1_0_2_1             v_1_0_2_3             v_1_0_4_3             v_1_0_4_5             v_1_0_6_7             v_2_0_0_2             v_2_0_2_0             v_2_0_2_2             v_2_0_2_4             v_2_0_4_6             v_2_2_0_2             v_2_2_2_0             v_2_2_2_1             v_2_2_2_2             v_2_2_2_3             v_2_2_2_4             v_2_2_4_6             v_2_2_6_8             v_3_0_0_3             v_3_0_2_1             v_3_0_2_3             v_3_0_2_5             v_3_0_4_7             v_3_2_0_3             v_3_2_2_1             v_3_2_2_3             v_3_2_2_4             v_3_2_2_5             v_3_2_4_7             v_3_2_6_9             v_4_0_0_4             v_4_0_2_4             v_4_0_2_6             v_4_0_4_8             v_4_2_0_4             v_4_2_2_2             v_4_2_2_4             v_4_2_2_6             v_4_2_4_8             v_4_4_0_4             v_4_4_2_2             v_4_4_2_4             v_4_4_2_5             v_4_4_2_6             v_4_4_4_8             v_5_0_0_5             v_5_0_2_7             v_5_2_0_5             v_5_2_2_7             v_5_4_0_5             v_5_4_2_5             v_5_4_2_7             v_5_4_4_9             v_6_0_0_6             v_6_0_2_8            v_6_0_4_10             v_6_2_0_6             v_6_2_2_8            v_6_2_4_10             v_6_4_0_6             v_6_4_2_8            v_6_4_4_10             v_6_6_0_6             v_6_6_2_8            v_6_6_4_10             v_7_0_0_7             v_7_0_2_9             v_7_2_0_7             v_7_2_2_9            v_7_2_4_11             v_7_4_0_7             v_7_4_2_9             v_7_6_0_7             v_7_6_2_9            v_7_6_4_11             v_8_6_0_8            v_8_6_2_10            v_9_4_2_11            v_9_6_2_11   
  9.75 -0.110277130079E+03   -0.489104993111E+01   -0.255109984702E-01    0.869287635333E+01    0.604016810936E+00   -0.107233404810E+03   -0.140123077605E-01   -0.152531809947E+01   -0.765829252959E-01   -0.385669854586E+01   -0.162504113410E+00   -0.130274490532E-01   -0.388014049544E+01   -0.749484809925E-01   -0.253084869272E+01    0.149562624708E+00   -0.129023225102E+00   -0.262949228332E+00   -0.141177253255E+00    0.389655517653E+02    0.863650039905E+00    0.409125909339E-01   -0.185034404941E+01    0.426489844465E-01   -0.881495796633E-01    0.659980159994E+01    0.206704734917E+00    0.330431442055E+01   -0.317220095838E-01    0.165772881694E+00    0.994237975050E-02   -0.831664883581E+01   -0.292677441736E+00   -0.170837678251E-01    0.663139278409E+00    0.294867055882E-01   -0.162997445377E+01   -0.664179628266E-01   -0.692724843737E+00    0.679996093338E-02   -0.319625418229E-01    0.140826103827E+01    0.690019051780E-01   -0.417595529420E+00    0.174166837248E-01   -0.340832766105E-01   -0.100984899997E-02    0.147984590131E+01    0.695605949432E-01   -0.244836142461E-01    0.861674321077E-01    0.994764150683E-02    0.534971659074E-01    0.151374552881E+00    0.235397798219E-01   -0.594067699043E+00   -0.361167814470E-01   -0.419547152254E-01    0.464634592508E-01   -0.207190434932E-03    0.236002717550E-01   -0.845790753710E-01   -0.693722989073E-03   -0.543396944113E-01    0.123376953099E+00    0.164267390327E-01   -0.601400101847E-02    0.661479647948E-01    0.219046698719E-02    0.242043655991E-01   -0.405090969517E-03   -0.220199669734E-01    0.352018113160E-02    0.200747269113E-02    0.169461825279E-01    0.198273509850E-02    0.108826132355E-02   -0.296097512163E-01   -0.929946401529E-03   -0.706738045016E-03    0.603618695337E-02    0.241192694931E-02   -0.392147037331E-03   
 10.02 -0.926861697025E+02   -0.414973043697E+01   -0.100987292148E-01    0.713185174761E+01    0.408073009968E+00   -0.962273775714E+02   -0.604607358471E-02   -0.130013366263E+01   -0.521813581068E-01   -0.331899010019E+01   -0.136754312452E+00   -0.148283998272E-01   -0.334741296317E+01   -0.634973558791E-01   -0.200157470674E+01    0.955027459457E-01   -0.104269611964E+00   -0.180213614283E+00   -0.121870757879E+00    0.340300192178E+02    0.712527251312E+00    0.289277511494E-01   -0.146698451266E+01    0.274851026485E-01   -0.608876651789E-01    0.557762480067E+01    0.167107552305E+00    0.267846329725E+01   -0.132336797019E-01    0.115916418430E+00    0.986800199058E-02   -0.702662690969E+01   -0.235314793816E+00   -0.107158058923E-01    0.553531850105E+00    0.153811011470E-01   -0.133225140230E+01   -0.520571367544E-01   -0.575156403258E+00    0.158148381111E-03   -0.171418315051E-01    0.114889805216E+01    0.543711000659E-01   -0.342192782399E+00    0.169016626908E-01   -0.269021681541E-01   -0.281268191210E-03    0.121644769639E+01    0.550169251419E-01   -0.227732161378E-01    0.675280858050E-01    0.104251790961E-01    0.440891687627E-01    0.121420349591E+00    0.220338156819E-01   -0.476529620362E+00   -0.270897894889E-01   -0.311526643842E-01    0.371170520529E-01   -0.155919603122E-02    0.137336082866E-01   -0.691608568759E-01    0.165917062862E-02   -0.377140030912E-01    0.100353772876E+00    0.134615156313E-01   -0.400140265624E-02    0.546816123172E-01    0.256930073217E-02    0.175711370001E-01    0.163015381617E-02   -0.162074614053E-01    0.859685099712E-03    0.117723464630E-02    0.128037748664E-01    0.356811488763E-02   -0.221734425388E-02   -0.266346493361E-01   -0.147203315820E-02    0.679320053804E-03    0.598301194803E-02    0.223366335202E-02   -0.445009866482E-03   
 10.29 -0.781201597728E+02   -0.353411307273E+01   -0.194529300803E-02    0.584511590031E+01    0.266386624486E+00   -0.865649687143E+02   -0.222052468929E-02   -0.111094626112E+01   -0.351995658289E-01   -0.285994196215E+01   -0.112663386723E+00   -0.191711226748E-01   -0.289413577513E+01   -0.529959025292E-01   -0.159246761043E+01    0.567363315797E-01   -0.846378023653E-01   -0.120714319348E+00   -0.104993952165E+00    0.298106156539E+02    0.589524123367E+00    0.203159556262E-01   -0.116472347106E+01    0.160060575141E-01   -0.412227331549E-01    0.473670301622E+01    0.134868880479E+00    0.217297555702E+01   -0.857164759623E-04    0.799535460336E-01    0.935105275855E-02   -0.596723950111E+01   -0.189535884095E+00   -0.638117191982E-02    0.458106766188E+00    0.554131419523E-02   -0.109594282940E+01   -0.409810591609E-01   -0.473701613688E+00   -0.489438896425E-02   -0.685115501334E-02    0.944069709623E+00    0.430559032460E-01   -0.282174629695E+00    0.147048309247E-01   -0.201121889207E-01    0.218614058252E-03    0.100359087242E+01    0.434843540494E-01   -0.206428395128E-01    0.526778975345E-01    0.982157996730E-02    0.364418729916E-01    0.993147131233E-01    0.189406818622E-01   -0.382227341944E+00   -0.200506463664E-01   -0.239041168401E-01    0.295634048894E-01   -0.236850680888E-02    0.755242959017E-02   -0.566046113082E-01    0.322713741313E-02   -0.267262424478E-01    0.813136760641E-01    0.110070003086E-01   -0.395981779607E-02    0.439143823920E-01    0.251719323066E-02    0.118774140312E-01    0.188903773505E-02   -0.110894925569E-01   -0.789951400675E-04    0.627093525201E-03    0.893756674348E-02    0.361001906219E-02   -0.294636737856E-02   -0.227038990241E-01   -0.167481524876E-02    0.121119636256E-02    0.551054441090E-02    0.188661383788E-02   -0.378769762439E-03   
 10.56 -0.660821318656E+02   -0.301828535041E+01    0.221400269746E-02    0.479023682627E+01    0.169502357394E+00   -0.780770390625E+02   -0.105043901811E-02   -0.952411615301E+00   -0.241548109712E-01   -0.246919601309E+01   -0.909551545461E-01   -0.242405113586E-01   -0.250973564704E+01   -0.436768555276E-01   -0.127606932374E+01    0.310243383233E-01   -0.690566796407E-01   -0.805950115387E-01   -0.903234325977E-01    0.262020743470E+02    0.489759134965E+00    0.145083938308E-01   -0.929679226328E+00    0.826739755181E-02   -0.281821226255E-01    0.404597032279E+01    0.108842789603E+00    0.176643518346E+01    0.778832356443E-02    0.558371031103E-01    0.852002721876E-02   -0.509845014010E+01   -0.153352264386E+00   -0.379233651928E-02    0.375092615158E+00   -0.455611940962E-03   -0.909734782526E+00   -0.326117483557E-01   -0.386360119137E+00   -0.810900766543E-02   -0.636203873792E-03    0.783512099381E+00    0.345038537243E-01   -0.233652579204E+00    0.117052377947E-01   -0.141972086236E-01    0.501109583681E-03    0.832545737339E+00    0.343950847272E-01   -0.180446126857E-01    0.410974658434E-01    0.848582283842E-02    0.301510363101E-01    0.822257723961E-01    0.150828782599E-01   -0.307408381325E+00   -0.146659580147E-01   -0.193064927642E-01    0.234016761040E-01   -0.274526897793E-02    0.407710855209E-02   -0.463248236254E-01    0.414896024190E-02   -0.198592626158E-01    0.655632137191E-01    0.899479266342E-02   -0.496660690203E-02    0.341174914278E-01    0.217352234318E-02    0.724897530385E-02    0.104069908868E-02   -0.681664343497E-02    0.100080607987E-03    0.293728015003E-03    0.552517568926E-02    0.268164945847E-02   -0.193568033868E-02   -0.182233792159E-01   -0.162253727149E-02    0.108255146605E-02    0.468802281202E-02    0.144027453634E-02   -0.205669435267E-03   
 10.83 -0.561498653990E+02   -0.258651809930E+01    0.366716627052E-02    0.393466839561E+01    0.106132156215E+00   -0.706107286370E+02   -0.152075875885E-02   -0.819545713985E+00   -0.173544202836E-01   -0.213761720744E+01   -0.722699288870E-01   -0.288593600371E-01   -0.218443228018E+01   -0.356957658413E-01   -0.103362077721E+01    0.151717765621E-01   -0.567277866090E-01   -0.548617023774E-01   -0.776369659747E-01    0.231118087718E+02    0.408898044820E+00    0.107574308839E-01   -0.747930855159E+00    0.354907256484E-02   -0.200876556461E-01    0.347757128376E+01    0.878927238334E-01    0.144271842225E+01    0.116409074010E-01    0.404914920182E-01    0.755352940228E-02   -0.438438098287E+01   -0.124805490499E+00   -0.245397993123E-02    0.304347163798E+00   -0.359702958570E-02   -0.762928850814E+00   -0.263406629537E-01   -0.312618444961E+00   -0.975978418825E-02    0.254380466625E-02    0.657478588776E+00    0.281014403087E-01   -0.194202601169E+00    0.858501713450E-02   -0.936115706121E-02    0.633862567282E-03    0.695399280842E+00    0.272927500529E-01   -0.151752599135E-01    0.322476549054E-01    0.681566898571E-02    0.249831220024E-01    0.686172087639E-01    0.112453007738E-01   -0.248615433567E+00   -0.106328716885E-01   -0.164162104587E-01    0.184483454262E-01   -0.280002036381E-02    0.233066223819E-02   -0.380037164270E-01    0.454845945113E-02   -0.157124089374E-01    0.527504197158E-01    0.738550337152E-02   -0.620349995111E-02    0.257024420105E-01    0.170786788399E-02    0.373177260458E-02   -0.262875351683E-03   -0.350438775231E-02    0.831128929904E-03    0.117682070858E-03    0.276747260947E-02    0.135124373264E-02   -0.202276537228E-03   -0.138082199022E-01   -0.142259979209E-02    0.623165103249E-03    0.372260790878E-02    0.988113463932E-03   -0.968803412033E-05   
 11.10 -0.479030241226E+02   -0.222315243712E+01    0.369334768814E-02    0.324594523294E+01    0.650544986069E-01   -0.640137572409E+02   -0.262431989034E-02   -0.707387784168E+00   -0.131169193378E-01   -0.185609548445E+01   -0.572355360993E-01   -0.318651187468E-01   -0.190847797054E+01   -0.292041938778E-01   -0.846461797026E+00    0.600008347791E-02   -0.468569490788E-01   -0.385497544184E-01   -0.667125010099E-01    0.204476364207E+02    0.342629747584E+00    0.831994668018E-02   -0.605635403151E+00    0.113234337887E-02   -0.152700994585E-01    0.300379569348E+01    0.708883932778E-01    0.118576277812E+01    0.127194932086E-01    0.308586129726E-01    0.662829285033E-02   -0.378934456055E+01   -0.101948628438E+00   -0.187356729094E-02    0.245714699498E+00   -0.486520869014E-02   -0.644887624641E+00   -0.215628418542E-01   -0.251951089350E+00   -0.101216639973E-01    0.372480322883E-02    0.556280349240E+00    0.232383661981E-01   -0.161417068807E+00    0.601857782724E-02   -0.580339363246E-02    0.684065648321E-03    0.584277933185E+00    0.217231948910E-01   -0.122309649656E-01    0.255907928321E-01    0.520513933605E-02    0.207057395722E-01    0.569673171700E-01    0.820319831745E-02   -0.202404727070E+00   -0.764949708607E-02   -0.142980480231E-01    0.145200999499E-01   -0.264295995210E-02    0.134430736132E-02   -0.313241175889E-01    0.454957085962E-02   -0.128965294507E-01    0.425226456300E-01    0.613944675029E-02   -0.686221249551E-02    0.190735475738E-01    0.128801244603E-02    0.136876121244E-02   -0.137646887188E-02   -0.126465205115E-02    0.155381936057E-02    0.398317977320E-04    0.861438744841E-03    0.181196085468E-03    0.124764019373E-02   -0.100666606475E-01   -0.118148708098E-02    0.159648178337E-03    0.281950665543E-02    0.622501254452E-03    0.126207882487E-03   
 11.37 -0.410092335174E+02   -0.191644924174E+01    0.315842637052E-02    0.269884533693E+01    0.381516926304E-01   -0.581596202151E+02   -0.372222742990E-02   -0.612061183774E+00   -0.102832923398E-01   -0.161627481314E+01   -0.458972646368E-01   -0.327789782133E-01   -0.167364565589E+01   -0.241675284771E-01   -0.701978587460E+00    0.109705557087E-02   -0.388498071967E-01   -0.280638438914E-01   -0.573364733270E-01    0.181351678153E+02    0.287722498645E+00    0.666344886325E-02   -0.493026403833E+00    0.359633965369E-03   -0.124775410618E-01    0.260370880698E+01    0.569918336164E-01    0.984000664690E+00    0.120378632867E-01    0.246966937121E-01    0.583378714204E-02   -0.328653496382E+01   -0.833717293099E-01   -0.168848742710E-02    0.198410655490E+00   -0.500531124542E-02   -0.547819585677E+00   -0.178403549884E-01   -0.203271447184E+00   -0.951013395824E-02    0.371645129523E-02    0.472925286409E+00    0.194542955534E-01   -0.133653603299E+00    0.431993665036E-02   -0.351005487718E-02    0.697845633324E-03    0.493148144911E+00    0.173354599294E-01   -0.938269625421E-02    0.206575048240E-01    0.387375630015E-02    0.171399730908E-01    0.464361603346E-01    0.628175899770E-02   -0.165963860896E+00   -0.545884478569E-02   -0.124067931779E-01    0.114433009388E-01   -0.236847882809E-02    0.531798765186E-03   -0.259970929464E-01    0.428161789502E-02   -0.105591074803E-01    0.344954117583E-01    0.520311110791E-02   -0.660031712791E-02    0.142997260302E-01    0.997892854837E-03    0.631003437482E-04   -0.197070823319E-02   -0.438767325415E-04    0.196221785721E-02    0.165490855742E-04   -0.177409204640E-03   -0.538714007567E-03    0.191123187588E-02   -0.728548196368E-02   -0.962935484490E-03   -0.129224054216E-03    0.209277522960E-02    0.384612343816E-03    0.166292147117E-03   
 11.64 -0.352615393046E+02   -0.165719827924E+01    0.234777360057E-02    0.226827903536E+01    0.216658991753E-01   -0.529616318493E+02   -0.469288231650E-02   -0.531212115295E+00   -0.842840468671E-02   -0.141200768095E+01   -0.374821303123E-01   -0.320825581750E-01   -0.147384427165E+01   -0.202896491412E-01   -0.591750624305E+00   -0.873029857089E-03   -0.323926740175E-01   -0.217320788263E-01   -0.493072398452E-01    0.161279484522E+02    0.242460697430E+00    0.555130724338E-02   -0.404853864544E+00    0.659282240774E-03   -0.110442633770E-01    0.226589315552E+01    0.457757010528E-01    0.827743723358E+00    0.102815627910E-01    0.209106315409E-01    0.513690491665E-02   -0.286162193048E+01   -0.684191302873E-01   -0.171862888925E-02    0.160767133373E+00   -0.442944115720E-02   -0.467930749469E+00   -0.149698955176E-01   -0.164704749188E+00   -0.829762816593E-02    0.301056959118E-02    0.404209323531E+00    0.164995379771E-01   -0.110344745544E+00    0.329687893878E-02   -0.216776989976E-02    0.691738816927E-03    0.418560985113E+00    0.139235417798E-01   -0.676600297327E-02    0.170743508517E-01    0.279592971804E-02    0.141820206710E-01    0.371414587044E-01    0.517398467885E-02   -0.137367300595E+00   -0.386699621800E-02   -0.107450678768E-01    0.905789865897E-02   -0.204876321733E-02   -0.155769440048E-03   -0.217733733070E-01    0.388149178951E-02   -0.860142103896E-02    0.282395260020E-01    0.450356379278E-02   -0.572976115600E-02    0.109787757657E-01    0.803670426809E-03   -0.478417912196E-03   -0.215987558079E-02    0.443950973782E-03    0.210773302054E-02    0.259722655616E-04   -0.588452065013E-03   -0.901640390937E-03    0.199272269470E-02   -0.529992095441E-02   -0.770634686135E-03   -0.272336421741E-03    0.152843318329E-02    0.243707480955E-03    0.141195682077E-03   
 11.91 -0.304567127344E+02   -0.143557534627E+01    0.150323938187E-02    0.190856116290E+01    0.121661416863E-01   -0.483438039023E+02   -0.545346768498E-02   -0.462600950413E+00   -0.718214158728E-02   -0.123985659343E+01   -0.311558022140E-01   -0.303294827003E-01   -0.130314289112E+01   -0.172548297535E-01   -0.499609719814E+00   -0.116519065481E-02   -0.271929049264E-01   -0.180267688712E-01   -0.424240512351E-01    0.143881595432E+02    0.205242410214E+00    0.476907271518E-02   -0.333448504891E+00    0.146606717615E-02   -0.103484970235E-01    0.197964479014E+01    0.368434364247E-01    0.696956445488E+00    0.811152860851E-02    0.184912907350E-01    0.449534909671E-02   -0.250121051012E+01   -0.564917181271E-01   -0.179756241470E-02    0.131050010484E+00   -0.352473263177E-02   -0.401726830704E+00   -0.127657465429E-01   -0.134317136628E+00   -0.686085010641E-02    0.207515015092E-02    0.347212375349E+00    0.141401953725E-01   -0.910036242573E-01    0.271923734668E-02   -0.144071343065E-02    0.680063063306E-03    0.357261294336E+00    0.112923045452E-01   -0.451377890220E-02    0.144750832119E-01    0.192769309357E-02    0.117337118009E-01    0.292727292899E-01    0.452548158623E-02   -0.114756000993E+00   -0.268476129892E-02   -0.935656575767E-02    0.720486215748E-02   -0.175433462470E-02   -0.727018278575E-03   -0.184066632012E-01    0.348665114117E-02   -0.698126088598E-02    0.233224441292E-01    0.396641614443E-02   -0.461155101845E-02    0.867317486092E-02    0.662676729888E-03   -0.563723307267E-03   -0.209151435065E-02    0.502271086292E-03    0.206856378892E-02    0.478715208769E-04   -0.630180586408E-03   -0.102944580555E-02    0.174934599774E-02   -0.391136205940E-02   -0.603772610663E-03   -0.314142236929E-03    0.110290103386E-02    0.163655973308E-03    0.865242674798E-04   
 12.18 -0.263987574948E+02   -0.124747791445E+01    0.851267644156E-03    0.160925597267E+01    0.636141629104E-02   -0.442192356143E+02   -0.592792784662E-02   -0.404040788444E+00   -0.619152034105E-02   -0.109243096740E+01   -0.261190043577E-01   -0.280540536344E-01   -0.115577780284E+01   -0.147599004300E-01   -0.423733698143E+00   -0.973447231378E-03   -0.229657583711E-01   -0.154886110887E-01   -0.364918820870E-01    0.128684678250E+02    0.174499511708E+00    0.411411063940E-02   -0.275676358614E+00    0.224215613298E-02   -0.979944837368E-02    0.173455408497E+01    0.298009431146E-01    0.588343998348E+00    0.615414596444E-02    0.164818201589E-01    0.387031447814E-02   -0.219228006210E+01   -0.469993895967E-01   -0.176994072924E-02    0.107561236042E+00   -0.266009587474E-02   -0.345829865265E+00   -0.110465341442E-01   -0.110222561779E+00   -0.555709230075E-02    0.135072798102E-02    0.299108672988E+00    0.121522680886E-01   -0.751425753972E-01    0.236585792741E-02   -0.100727243572E-02    0.675221495727E-03    0.306092979989E+00    0.925146047564E-02   -0.274826164319E-02    0.125049388605E-01    0.122755142498E-02    0.969967812372E-02    0.229939296437E-01    0.400050857991E-02   -0.963369045552E-01   -0.173274536827E-02   -0.827830824470E-02    0.573057242483E-02   -0.154990177976E-02   -0.118953588207E-02   -0.156583135735E-01    0.322389434863E-02   -0.565638058981E-02    0.193282334535E-01    0.352135664000E-02   -0.358725996516E-02    0.696314107696E-02    0.534820944042E-03   -0.486632502090E-03   -0.190713812217E-02    0.420186858325E-03    0.192049698089E-02    0.631726719576E-04   -0.548851666680E-03   -0.103896238471E-02    0.142614368930E-02   -0.292741628605E-02   -0.461514542788E-03   -0.297764713564E-03    0.792603748202E-03    0.110079911252E-03    0.359609918127E-04   
 12.45 -0.229554680293E+02   -0.108860013485E+01    0.439206709119E-03    0.136173083746E+01    0.258790156075E-02   -0.405245186851E+02   -0.611880578826E-02   -0.353957687416E+00   -0.530271880261E-02   -0.965061655133E+00   -0.219799742866E-01   -0.255659519798E-01   -0.102792917225E+01   -0.126476574906E-01   -0.362001009722E+00   -0.782724759038E-03   -0.195183659042E-01   -0.134533062365E-01   -0.313822475610E-01    0.115358612096E+02    0.149056899732E+00    0.352112954533E-02   -0.229129059735E+00    0.276810650968E-02   -0.916641692519E-02    0.152363292000E+01    0.242827515929E-01    0.498896823259E+00    0.463413701864E-02    0.145331770197E-01    0.326358888301E-02   -0.192616129673E+01   -0.394567828261E-01   -0.160924467440E-02    0.890220948919E-01   -0.199258708812E-02   -0.298214122928E+00   -0.968137153079E-02   -0.910907799187E-01   -0.451799480275E-02    0.958650140250E-03    0.258168875523E+00    0.104268259061E-01   -0.622647191742E-01    0.212036750005E-02   -0.711051117299E-03    0.667358374375E-03    0.263051601737E+00    0.766708152818E-02   -0.146781073856E-02    0.109426639151E-01    0.682740832052E-03    0.801712633619E-02    0.181718886211E-01    0.348016139867E-02   -0.810840601012E-01   -0.945425568633E-03   -0.746975228260E-02    0.454432429313E-02   -0.143259989917E-02   -0.153890300652E-02   -0.133785649356E-01    0.309609499158E-02   -0.458410137553E-02    0.160340705083E-01    0.314547048194E-02   -0.277255042644E-02    0.563511595964E-02    0.409976989084E-03   -0.376897471181E-03   -0.167816339357E-02    0.320136647859E-03    0.171127852145E-02    0.662358223185E-04   -0.448503670994E-03   -0.988541448209E-03    0.112643214556E-02   -0.222807849067E-02   -0.342762576762E-03   -0.250864665801E-03    0.574018019716E-03    0.689774868677E-04    0.837653335427E-06   
 12.72 -0.200346744837E+02   -0.955127184563E+00    0.198859344831E-03    0.115819924611E+01    0.231571191686E-03   -0.372116079979E+02   -0.607935331978E-02   -0.311173162591E+00   -0.449040550727E-02   -0.854904581785E+00   -0.186098614978E-01   -0.230299420663E-01   -0.917031278948E+00   -0.108550689990E-01   -0.312048856394E+00   -0.620467612020E-03   -0.167171320486E-01   -0.117694606817E-01   -0.270095922165E-01    0.103667533815E+02    0.127993035403E+00    0.301344645810E-02   -0.191787505115E+00    0.302988863161E-02   -0.845102032186E-02    0.134210059835E+01    0.199418614186E-01    0.425464448010E+00    0.351708646935E-02    0.126884529391E-01    0.270314918270E-02   -0.169699224751E+01   -0.334461110185E-01   -0.137207000514E-02    0.744244109916E-01   -0.154258247121E-02   -0.257726282435E+00   -0.857194425339E-02   -0.759501289065E-01   -0.372961542926E-02    0.814335979190E-03    0.223371014898E+00    0.892917694880E-02   -0.518672301532E-01    0.193399337767E-02   -0.502245443187E-03    0.632257402610E-03    0.226875720702E+00    0.644160076143E-02   -0.590864401663E-03    0.965313943625E-02    0.299033642081E-03    0.664427929866E-02    0.144817391435E-01    0.298543054175E-02   -0.684664237717E-01   -0.330744721771E-03   -0.684031321626E-02    0.359600216977E-02   -0.135596838486E-02   -0.176295371397E-02   -0.114750059064E-01    0.302617515363E-02   -0.372146553697E-02    0.133417184198E-01    0.284642140512E-02   -0.213733591667E-02    0.460858865780E-02    0.297350875050E-03   -0.258422004424E-03   -0.143078273957E-02    0.217033073923E-03    0.147056343662E-02    0.600883548847E-04   -0.341421072449E-03   -0.898804758745E-03    0.862091918115E-03   -0.174004278698E-02   -0.246249006539E-03   -0.191127166097E-03    0.423653913702E-03    0.394927642974E-04   -0.219341369295E-04   
 12.99 -0.175465198141E+02   -0.842283456649E+00    0.601025601335E-04    0.990084475401E+00   -0.130410453468E-02   -0.342330593176E+02   -0.586366739806E-02   -0.274515320186E+00   -0.373139050167E-02   -0.759226963042E+00   -0.158841973542E-01   -0.206083729451E-01   -0.820539304435E+00   -0.932067254850E-02   -0.271034157214E+00   -0.506495484618E-03   -0.144294492101E-01   -0.102942292188E-01   -0.232890761030E-01    0.933792741082E+01    0.110390605888E+00    0.261585521107E-02   -0.161573940202E+00    0.301689637304E-02   -0.765874817602E-02    0.118521321354E+01    0.164315799685E-01    0.364734731553E+00    0.276426005714E-02    0.109972751124E-01    0.221740873271E-02   -0.149895773667E+01   -0.285507136281E-01   -0.111639772498E-02    0.627645172838E-01   -0.132818022346E-02   -0.223227562679E+00   -0.762048073509E-02   -0.638349229772E-01   -0.317558562648E-02    0.829772719953E-03    0.193704912609E+00    0.762586664601E-02   -0.434471838048E-01    0.175908954825E-02   -0.332827910605E-03    0.545462941175E-03    0.196316281364E+00    0.547805725234E-02   -0.345288236909E-04    0.850268206679E-02    0.825111191380E-04    0.553971014087E-02    0.115954192000E-01    0.253963808772E-02   -0.579612001632E-01    0.102129922557E-03   -0.629857236390E-02    0.283616695507E-02   -0.127282004178E-02   -0.184939295487E-02   -0.985618090687E-02    0.293572439346E-02   -0.302551071914E-02    0.111550167578E-01    0.263238278662E-02   -0.164910080166E-02    0.380526578033E-02    0.206470813478E-03   -0.153345755321E-03   -0.119043500289E-02    0.123996659898E-03    0.122770523741E-02    0.479021072326E-04   -0.238359112614E-03   -0.789745253067E-03    0.643479628148E-03   -0.139078160964E-02   -0.170703296069E-03   -0.136071024543E-03    0.318022051663E-03    0.209889055519E-04   -0.356831044142E-04   
 13.26 -0.154088965732E+02   -0.745226664923E+00   -0.346905921086E-04    0.849120007302E+00   -0.252878327600E-02   -0.315445594593E+02   -0.552615983037E-02   -0.242891348952E+00   -0.301072298647E-02   -0.675541894820E+00   -0.136837588088E-01   -0.184333220890E-01   -0.736076196541E+00   -0.799305222453E-02   -0.236179955733E+00   -0.454943100983E-03   -0.125338356631E-01   -0.891000513622E-02   -0.201376950560E-01    0.842784585506E+01    0.954230824468E-01    0.234224384309E-02   -0.136572913553E+00    0.273659302024E-02   -0.680200523428E-02    0.104859870291E+01    0.134565902721E-01    0.313608340097E+00    0.233016926901E-02    0.949686633413E-02    0.182694206119E-02   -0.132667109158E+01   -0.244072554504E-01   -0.892346670135E-03    0.531463774625E-01   -0.135037160595E-02   -0.193661972708E+00   -0.674673252325E-02   -0.538754067208E-01   -0.283297564244E-02    0.925181987536E-03    0.168236099515E+00    0.649084743332E-02   -0.365418187238E-01    0.155827585778E-02   -0.163409865062E-03    0.392658398905E-03    0.170229182714E+00    0.468982069632E-02    0.284120546276E-03    0.738632881099E-02    0.279372671111E-04    0.466159429204E-02    0.922733516883E-02    0.216102843599E-02   -0.490947353907E-01    0.355867023321E-03   -0.576895546894E-02    0.221990959306E-02   -0.114559324669E-02   -0.179959566545E-02   -0.844369917782E-02    0.276616426192E-02   -0.245662773201E-02    0.938067903850E-02    0.250526946172E-02   -0.127700523200E-02    0.315556693107E-02    0.144310458271E-03   -0.792078650368E-04   -0.978510340611E-03    0.518207254295E-04    0.100789458127E-02    0.327164073478E-04   -0.148701339711E-03   -0.679052135103E-03    0.477690190771E-03   -0.111734899099E-02   -0.114578972243E-03   -0.995207171945E-04    0.236836759721E-03    0.124163435740E-04   -0.433162897013E-04   
