#iR    R_COM(iR)
1	0.400000000000000E+01
2	0.411852814910493E+01
3	0.424056852874242E+01
4	0.436622521345854E+01
5	0.449560536174017E+01
6	0.462881930739849E+01
7	0.476598065366027E+01
8	0.490720637004733E+01
9	0.505261689212674E+01
10	0.520233622421676E+01
11	0.535649204513625E+01
12	0.551521581708757E+01
13	0.567864289776598E+01
14	0.584691265579100E+01
15	0.602016858955827E+01
16	0.619855844961327E+01
17	0.638223436465112E+01
18	0.657135297125012E+01
19	0.676607554744948E+01
20	0.696656815028531E+01
21	0.717300175740198E+01
22	0.738555241285980E+01
23	0.760440137726324E+01
24	0.782973528233774E+01
25	0.806174629008700E+01
26	0.830063225666639E+01
27	0.854659690111223E+01
28	0.879984997907093E+01
29	0.906060746167601E+01
30	0.932909171972571E+01
31	0.960553171331802E+01
32	0.989016318710510E+01
33	0.101832288713334E+02
34	0.104849786888412E+02
35	0.107956699681894E+02
36	0.111155676631087E+02
37	0.114449445784484E+02
38	0.117840816028214E+02
39	0.121332679481424E+02
40	0.124928013962643E+02
41	0.128629885529230E+02
42	0.132441451092069E+02
43	0.136365961107748E+02
44	0.140406762350502E+02
45	0.144567300766307E+02
46	0.148851124411539E+02
47	0.153261886478710E+02
48	0.157803348411873E+02
49	0.162479383114328E+02
50	0.167293978251391E+02
51	0.172251239651026E+02
52	0.177355394805242E+02
53	0.182610796475252E+02
54	0.188021926403449E+02
55	0.193593399135385E+02
56	0.199329965954998E+02
57	0.205236518936446E+02
58	0.211318095116015E+02
59	0.217579880787636E+02
60	0.224027215925693E+02
61	0.230665598738894E+02
62	0.237500690359069E+02
63	0.244538319668920E+02
64	0.251784488272817E+02
65	0.259245375614894E+02
66	0.266927344248806E+02
67	0.274836945263632E+02
68	0.282980923870570E+02
69	0.291366225155165E+02
70	0.300000000000000E+02
