energy#1, (U= 800.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
  49   0.73393380E+01     -0.15071801E+00       0.21093715E+01        0.44427620E+05      0.56292308E-05      0.74769080E-08       0       0
  50   0.74891204E+01     -0.15317980E+00       0.19574226E+01        0.44397002E+05      0.54881433E-05      0.69228623E-08       0       0
  51   0.76389028E+01     -0.15230279E+00       0.18046813E+01        0.44366383E+05      0.57531938E-05      0.62399863E-08       0       0
  52   0.77886852E+01     -0.14804008E+00       0.16545099E+01        0.44274527E+05      0.97232293E-05      0.54270810E-08       0       0
  53   0.79384676E+01     -0.13985743E+00       0.15105611E+01        0.44182671E+05      0.53678674E-05      0.45488724E-08       0       0
  54   0.80882500E+01     -0.12919433E+00       0.13760353E+01        0.44029578E+05      0.52824812E-05      0.37286174E-08       0       0
  55   0.82380324E+01     -0.11869731E+00       0.12520894E+01        0.43907104E+05      0.53499418E-05      0.30583980E-08       0       0
  56   0.83878148E+01     -0.11019314E+00       0.11376442E+01        0.43784629E+05      0.53154368E-05      0.25094593E-08       0       0
  57   0.85375972E+01     -0.10102174E+00       0.10320368E+01        0.43631536E+05      0.12093349E-04      0.20094371E-08       0       0
  58   0.86873796E+01     -0.91249088E-01       0.93590136E+00        0.43478443E+05      0.90319799E-05      0.15891066E-08       0       0
  59   0.88371620E+01     -0.82571428E-01       0.84899110E+00        0.43325350E+05      0.53637542E-05      0.12566170E-08       0       0
  60   0.89869445E+01     -0.74285702E-01       0.77056254E+00        0.43172257E+05      0.53024176E-05      0.98703268E-09       0       0
  61   0.91367269E+01     -0.66602343E-01       0.70011851E+00        0.43049782E+05      0.90840907E-05      0.78110851E-09       0       0
  62   0.92865093E+01     -0.60680634E-01       0.63647702E+00        0.42896689E+05      0.52408497E-05      0.62829741E-09       0       0
  63   0.94362917E+01     -0.55421277E-01       0.57842607E+00        0.42743596E+05      0.51870701E-05      0.50126570E-09       0       0
  64   0.95860741E+01     -0.49921646E-01       0.52575461E+00        0.42621122E+05      0.89840421E-05      0.39350745E-09       0       0
  65   0.97358565E+01     -0.44755187E-01       0.47841619E+00        0.42468028E+05      0.51469160E-05      0.30968561E-09       0       0
  66   0.98856389E+01     -0.40360819E-01       0.43585819E+00        0.42314935E+05      0.51292115E-05      0.24786839E-09       0       0
  67   0.10035421E+02     -0.36951801E-01       0.39720188E+00        0.42161842E+05      0.51453798E-05      0.20095037E-09       0       0
  68   0.10185204E+02     -0.33788748E-01       0.36183160E+00        0.42039368E+05      0.51340924E-05      0.16122659E-09       0       0
  69   0.10334986E+02     -0.30521148E-01       0.32967666E+00        0.41886275E+05      0.51405695E-05      0.12778667E-09       0       0
  70   0.10484769E+02     -0.27485143E-01       0.30067351E+00        0.41733181E+05      0.11529063E-04      0.10189627E-09       0       0
  71   0.10634551E+02     -0.24937786E-01       0.27446205E+00        0.41580088E+05      0.50573825E-05      0.82645002E-10       0       0
  72   0.10784333E+02     -0.22983049E-01       0.25050163E+00        0.41457614E+05      0.55311366E-05      0.67790218E-10       0       0
  73   0.10934116E+02     -0.21144558E-01       0.22843782E+00        0.41304521E+05      0.51012593E-05      0.55777605E-10       0       0
  74   0.11083898E+02     -0.19265581E-01       0.20823276E+00        0.41151428E+05      0.14245660E-04      0.44919624E-10       0       0
  75   0.11233681E+02     -0.17598424E-01       0.18980075E+00        0.40998335E+05      0.11136258E-04      0.36104453E-10       0       0
  76   0.11383463E+02     -0.16079274E-01       0.17296190E+00        0.40845241E+05      0.94796685E-05      0.29576341E-10       0       0
  77   0.11533245E+02     -0.14629172E-01       0.15760768E+00        0.40692148E+05      0.10029981E-04      0.24291680E-10       0       0
  78   0.11683028E+02     -0.13452434E-01       0.14356688E+00        0.40539055E+05      0.10571779E-04      0.20294877E-10       0       0
  79   0.11832810E+02     -0.12519991E-01       0.13058066E+00        0.40385962E+05      0.11296477E-04      0.16786572E-10       0       0
  80   0.11982593E+02     -0.11565911E-01       0.11853771E+00        0.40232869E+05      0.49075319E-05      0.14011015E-10       0       0
  81   0.12132375E+02     -0.10599455E-01       0.10745503E+00        0.40079776E+05      0.48782793E-05      0.11368684E-10       0       0
  82   0.12282157E+02     -0.97077502E-02       0.97301428E-01        0.39896064E+05      0.48585656E-05      0.95257136E-11       0       0
  83   0.12431940E+02     -0.89833753E-02       0.87955865E-01        0.39742971E+05      0.98978022E-05      0.81934459E-11       0       0
  84   0.12581722E+02     -0.83980312E-02       0.79265162E-01        0.39589878E+05      0.48188722E-05      0.67501560E-11       0       0
  85   0.12731505E+02     -0.77936619E-02       0.71169315E-01        0.39406166E+05      0.47999759E-05      0.57509553E-11       0       0
  86   0.12881287E+02     -0.71995523E-02       0.63672708E-01        0.39253073E+05      0.47805084E-05      0.44630966E-11       0       0
  87   0.13031069E+02     -0.66799935E-02       0.56732935E-01        0.39069361E+05      0.91515033E-05      0.39968029E-11       0       0
  88   0.13180852E+02     -0.61820511E-02       0.50301913E-01        0.38885650E+05      0.47353375E-05      0.33750780E-11       0       0
  89   0.13330634E+02     -0.57092443E-02       0.44356265E-01        0.38732557E+05      0.47160184E-05      0.29976022E-11       0       0
  90   0.13480417E+02     -0.53386187E-02       0.38832334E-01        0.38548845E+05      0.46948134E-05      0.23314684E-11       0       0
  91   0.13630199E+02     -0.50212564E-02       0.33652396E-01        0.38365133E+05      0.46700535E-05      0.19317881E-11       0       0
  92   0.13779981E+02     -0.46814157E-02       0.28801060E-01        0.38181421E+05      0.46541784E-05      0.17319479E-11       0       0
  93   0.13929764E+02     -0.43429206E-02       0.24288892E-01        0.37997710E+05      0.46298253E-05      0.17541524E-11       0       0
  94   0.14079546E+02     -0.40346803E-02       0.20100092E-01        0.37813998E+05      0.57159121E-05      0.12878587E-11       0       0
  95   0.14229329E+02     -0.37840283E-02       0.16190737E-01        0.37599668E+05      0.45827753E-05      0.88817842E-12       0       0
  96   0.14379111E+02     -0.35662603E-02       0.12515593E-01        0.37415956E+05      0.45645047E-05      0.88817842E-12       0       0
  97   0.14528894E+02     -0.33398321E-02       0.90625467E-02        0.37232244E+05      0.83571627E-05      0.99920072E-12       0       0
  98   0.14678676E+02     -0.31145136E-02       0.58353739E-02        0.37017914E+05      0.45131010E-05      0.55511151E-12       0       0
  99   0.14828458E+02     -0.29075240E-02       0.28243551E-02        0.36803583E+05      0.56109339E-05      0.57731597E-12       0       0
 100   0.14978241E+02     -0.27411862E-02       0.00000000E+00        0.36619872E+05      0.79162187E-05      0.46629367E-12       0       0
 
